bootstrap,converged,n_iter,log_likelihood,BIC,matching_cost,matched_size_p0,mean_zINT_p0,mean_zBE_p0,matched_size_p1,mean_zINT_p1,mean_zBE_p1,matched_size_p2,mean_zINT_p2,mean_zBE_p2,matched_size_p3,mean_zINT_p3,mean_zBE_p3,matched_size_p4,mean_zINT_p4,mean_zBE_p4,matched_size_p5,mean_zINT_p5,mean_zBE_p5,matched_size_p6,mean_zINT_p6,mean_zBE_p6
41,True,13,-2151.041403515079,4591.597516073486,4.339398068179306,178,0.6252467097061809,0.931531842855272,166,-0.11470950950858916,-0.7242730716075835,55,-0.10361010798913449,1.2285383217513588,49,-0.6191474070732383,0.014149100268323745,333,0.32304866966794976,0.17566906048451686,256,-1.1834949542882423,-1.0966165146098283,129,1.4031242734487266,0.9705978062647564
42,True,42,-210.56715006476222,710.6490091728524,4.6298145452605866,256,0.12992567573618924,0.025906467932290598,201,-0.9470225576309244,-0.5688394191098515,111,0.8335544724952278,1.5983260240793982,18,-2.013242184270422,0.22188590506954917,156,-0.31174586335534515,-0.10647855825388253,73,-2.084273682731966,-1.8099637361723473,351,0.9200775825576383,0.273707709743516
43,True,43,-265.05113773127584,819.6169845058796,2.5601503565344754,226,0.761216702087878,0.29488787300266583,249,-0.5975749650493318,-0.2566453810965588,62,0.7129798597617226,1.6564723904253693,98,0.17476213483224604,0.2958194793750125,243,0.1448044811928981,0.11228736710417574,170,-1.4243608966106178,-1.3116870696810456,118,1.5137938736598047,0.7380745384047958
44,True,36,-938.0626504657422,2165.6400099748125,1.6837433736510923,256,0.7785204219137314,0.28832475726962453,161,-1.1323681822675593,-0.7177994109196701,57,0.8036328678158278,1.333625304716882,251,-0.3950355150015554,-0.04708807109136777,249,0.20273552573198408,0.25324487975624704,79,-1.7298846226699618,-1.635095904959563,113,1.4447125292529637,0.9044187753978623
45,True,37,-328.8211882572985,947.157085557925,4.027011804879622,246,0.17810375553189015,0.03193777449372633,70,-1.5074204340644854,-1.1292043383746244,110,0.9853917275454434,1.6164037174743016,248,-0.590194046248153,-0.0598254167562251,179,-0.39333604469540556,-0.44391899510371696,24,-2.2153850939685293,-2.295779495801194,289,0.8942687165638291,0.30462759663544703
46,True,43,-80.42062927480066,450.3559675929293,1.7728079213087802,148,0.5983836556373828,0.35211509773923977,66,-1.163172431704721,-0.6054613074054583,119,0.9424365685655672,1.5621518151536187,258,-0.4319156024799857,-0.1856240062642033,261,0.17398259573884955,0.0975911873780756,140,-1.640420808831359,-1.4898577065621506,174,1.1912754765547027,0.3246377466335357
47,True,29,-29.93579632077615,349.38630168488027,4.005432989236174,284,0.11651443947201837,0.08474909924568119,105,-1.52599892892645,-0.603981844583035,186,0.9767930839172829,1.303914377049395,112,-0.8076749239590918,-0.339814280033516,166,-0.34558024224353723,-0.16584631534788774,64,-2.1160242501200295,-1.8982612519107962,249,0.9493260961736403,0.09371045672901472
48,True,42,-1282.4677970504208,2854.4503031441695,4.19186632996237,431,0.2212223957400943,0.18185780740485608,120,-0.6016962368245597,-1.0861225885629149,107,0.9849973485661248,1.6131686050259797,76,-0.4492927332867026,-0.3864959475783939,238,-0.3208667204247619,-0.3877774602030861,65,-1.2729053237442558,-1.8627245637836491,129,0.5267019040935251,1.0565039894499548
49,True,65,-26.939466092743757,343.39364122881545,5.462864455831231,239,0.40318670190713385,-0.3640999935938031,202,-0.36045146266627986,-0.42364506829396,140,0.13003992188468025,1.1986343984525647,48,-0.4913935553249887,-0.1430830892702483,209,-0.047159259356860994,0.1365227993785477,122,-0.523175144864174,-1.5913991434107932,206,0.36066283514712105,0.7665461868813016
50,True,35,2.520010023333441,284.4746889966611,2.4168622809490983,287,0.9614018517527761,0.22655629876978922,231,-0.9317733920548468,-0.5805127404822226,115,0.9270739296147469,1.5679672067296897,155,-0.2641096396384556,-0.13139756349413917,250,0.17394418656131527,0.0990478356888686,93,-2.0815391045247553,-1.6835471023805015,35,0.7786627255081685,1.24323367865743
