construct,profile_1,profile_2,cohens_d,abs_cohens_d
SNO,4,5,2.4353119017199893,2.4353119017199893
SNO,4,6,-1.0378619673876934,1.0378619673876934
SNO,5,6,-3.0355768588226466,3.0355768588226466
COVID,0,1,1.6161343221345392,1.6161343221345392
COVID,0,2,-0.5080761837694616,0.5080761837694616
COVID,0,3,0.714706626891264,0.714706626891264
COVID,0,4,0.34166407971205615,0.34166407971205615
COVID,0,5,2.3829893842810654,2.3829893842810654
COVID,0,6,-0.5355614462523282,0.5355614462523282
COVID,1,2,-1.9461778871477453,1.9461778871477453
COVID,1,3,-0.9178730376325999,0.9178730376325999
COVID,1,4,-1.314393847048817,1.314393847048817
COVID,1,5,0.6980360712652971,0.6980360712652971
COVID,1,6,-1.9614597742077533,1.9614597742077533
COVID,2,3,1.1929163507332337,1.1929163507332337
COVID,2,4,0.8585107992828264,0.8585107992828264
COVID,2,5,2.486853027077461,2.486853027077461
COVID,2,6,-0.017692601225203143,0.017692601225203143
COVID,3,4,-0.38895983584343513,0.38895983584343513
COVID,3,5,1.6931407152823905,1.6931407152823905
COVID,3,6,-1.2275185219216236,1.2275185219216236
COVID,4,5,2.0890443796752787,2.0890443796752787
COVID,4,6,-0.8974616203531638,0.8974616203531638
COVID,5,6,-2.4351440178794346,2.4351440178794346
PU,0,1,1.6881467171080315,1.6881467171080315
PU,0,2,-1.0450357978575575,1.0450357978575575
PU,0,3,0.7840680356591502,0.7840680356591502
PU,0,4,0.3216908385597809,0.3216908385597809
PU,0,5,2.566368700675004,2.566368700675004
PU,0,6,-0.39619100988601147,0.39619100988601147
PU,1,2,-2.780847821053246,2.780847821053246
PU,1,3,-0.9312174071872009,0.9312174071872009
PU,1,4,-1.5222746934190365,1.5222746934190365
PU,1,5,0.8949456236921144,0.8949456236921144
PU,1,6,-2.0308437199718985,2.0308437199718985
PU,2,3,1.8750700377078129,1.8750700377078129
PU,2,4,1.5442257023066988,1.5442257023066988
PU,2,5,3.3179757138364634,3.3179757138364634
PU,2,6,0.7153253292541842,0.7153253292541842
PU,3,4,-0.517892099191939,0.517892099191939
PU,3,5,1.8675274105277793,1.8675274105277793
PU,3,6,-1.1928483892884834,1.1928483892884834
PU,4,5,2.4692720998104885,2.4692720998104885
PU,4,6,-0.7944866256089795,0.7944866256089795
PU,5,6,-2.549600709376771,2.549600709376771
PEU,0,1,1.2481842612263079,1.2481842612263079
PEU,0,2,-0.4515258289675779,0.4515258289675779
PEU,0,3,0.6435532584142639,0.6435532584142639
PEU,0,4,0.26968427417684465,0.26968427417684465
PEU,0,5,1.8996914522580612,1.8996914522580612
PEU,0,6,0.2669337725415787,0.2669337725415787
PEU,1,2,-1.5944461734994901,1.5944461734994901
PEU,1,3,-0.5361394491403425,0.5361394491403425
