predictor,comparison,coefficient,SE,OR,CI_lower,CI_upper,raw_p,FDR_p,FDR_significant
Education,Profile_1,-0.0898905863312093,0.1942700890859183,0.914031187305926,0.6245899272779116,1.3376024410271112,0.6435727165662517,0.7926428495855814,False
Occupation,Profile_1,0.0311402222709783,0.0756783813250474,1.031630151267514,0.889416717123327,1.1965828261542144,0.6807198099327031,0.8053586483710854,False
income,Profile_1,-0.0181089454718368,0.1622055894670047,0.9820540361896906,0.7146003091114885,1.3496077705250422,0.9111073225003226,0.9905612395197668,False
const,Profile_2,17.539693097178095,1.533925642431774,41437345.49094501,2049689.4216682508,837714037.6410898,2.8110867382768506e-30,7.87104286717518e-29,True
ATT,Profile_2,-0.4382146378236687,0.1807173415872515,0.6451872863995256,0.4527475347304123,0.91942330460054,0.015314201375431,0.0443583763978002,True
CON,Profile_2,0.246585157308395,0.1947409139377034,1.2796481499700234,0.8736223993754275,1.8743788951524012,0.205433745949323,0.3609285368897345,False
SNO,Profile_2,-1.123894382338931,0.2064420529624839,0.3250116073591506,0.2168562025528344,0.4871087092491282,5.206342892399734e-08,3.12380573543984e-07,True
COVID,Profile_2,-0.2746749561102607,0.2027817965422771,0.7598190576325251,0.5106211887269657,1.1306326746465665,0.175565888046671,0.3429659208353574,False
PU,Profile_2,-0.9874562656496124,0.2092700606083806,0.3725230865939535,0.2471831832980977,0.5614194630632632,2.3750358317284964e-06,1.1735471168540804e-05,True
PEU,Profile_2,-0.5426807637930882,0.1396446340324374,0.5811881340472168,0.442027029306654,0.7641606163476322,0.0001018442795852,0.0004502589202717,True
PO,Profile_2,0.1373810713821449,0.1533838766617385,1.147265255187169,0.8493776901463455,1.5496257801790143,0.3704299619966943,0.5556449429950414,False
PRI,Profile_2,-1.368939420932119,0.2086545720566615,0.2543766030389482,0.1689922569177931,0.3829018994941989,5.3522436515835256e-11,7.493141112216935e-10,True
age,Profile_2,-0.0003185990343899,0.0154547494110941,0.9996814517128928,0.969853831630529,1.0304264130386092,0.9835528069850424,0.9905612395197668,False
gender,Profile_2,-0.0190374532046924,0.1997786958346678,0.9811426146194744,0.6632497273536646,1.451400265271469,0.9240823333660771,0.9905612395197668,False
Education,Profile_2,-0.1573942413040526,0.1467861837620741,0.8543671655879344,0.6407632971487204,1.1391776914858809,0.283599327871684,0.4764468708244292,False
Occupation,Profile_2,-0.056002336234972,0.0575483855467546,0.94553692689138,0.8446802108891579,1.0584361615078894,0.3304863139273238,0.5338625071133694,False
income,Profile_2,0.0488557414866136,0.11124469830161,1.050068858440792,0.8443536401859892,1.305903776555359,0.6605357079879846,0.7926428495855814,False
const,Profile_3,7.447682827626633,1.3525282490524135,1715.8825396653615,121.1134197042978,24309.8815731315,3.660594391965427e-08,2.562416074375799e-07,True
ATT,Profile_3,-0.2979756220592747,0.1697409243641019,0.7423194357464058,0.5322362369357736,1.035326245088715,0.0791784226176229,0.200478919030169,False
CON,Profile_3,0.1573258693659775,0.1833816200858266,1.170376941757971,0.8170115019049137,1.6765763794083777,0.3909393201929266,0.5761211034422077,False
SNO,Profile_3,-0.6451116648926943,0.1940628742371579,0.5246039589910273,0.3586261139925012,0.7673989791909409,0.000886597039501,0.0037237075659044,True
COVID,Profile_3,-0.180585545340881,0.1935838510039067,0.8347812659944289,0.5712034127292607,1.2199852916242284,0.3508951540011186,0.539579500343316,False
PU,Profile_3,-0.2418994411342539,0.1913824048687632,0.7851351258800017,0.5395558625098734,1.1424899787449272,0.2062448782227054,0.3609285368897345,False
PEU,Profile_3,-0.161035565660459,0.129735667495139,0.8512617948807988,0.6601306731413394,1.097732120180585,0.2145100833372808,0.3677315714353386,False
PO,Profile_3,0.0101638139146778,0.1420499629889414,1.0102156409091467,0.7647134323704129,1.3345334316595991,0.9429592531380108,0.9905612395197668,False
PRI,Profile_3,-0.7768789585294317,0.1909307737771414,0.4598389504449287,0.3162876245421449,0.6685429461629723,4.723483527303175e-05,0.0002204292312741,True
age,Profile_3,0.0253756618906023,0.013315289874586,1.0257003646973148,0.9992779545367864,1.052821423072308,0.0566821788277456,0.1487907194228322,False
gender,Profile_3,-0.2658517384878763,0.1861761705757154,0.7665527693491612,0.5321887641111804,1.1041254303409362,0.1533039689407669,0.3192897306357007,False
Education,Profile_3,-0.001656615569255,0.1400350351940854,0.9983447558609015,0.7587178691799309,1.3136533249602382,0.9905612395197668,0.9905612395197668,False
Occupation,Profile_3,-0.0499995616299673,0.0530856740080913,0.9512298414912792,0.8572313163998059,1.0555356460186938,0.3462615368012585,0.539579500343316,False
income,Profile_3,0.2256922394433236,0.1072014908449616,1.2531899234947026,1.0156992762366932,1.5462105970652291,0.0352644387111836,0.0955552532819169,False
const,Profile_4,31.314986777435387,2.431827827927788,39803930412873.96,338775754636.29193,4676700899135674.0,6.053776292890741e-38,2.542586043014111e-36,True
