section,result_name,value,unit_or_scale,source_phase,source_file,status,notes
evidence_matrix,STAB-profile_0_pct_BE_gt_INT: profile_0_pct_BE_gt_INT,19.5,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_1_pct_INT_gt_BE: profile_1_pct_INT_gt_BE,12.5,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_1_pct_BE_gt_INT: profile_1_pct_BE_gt_INT,87.5,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_2_pct_INT_gt_BE: profile_2_pct_INT_gt_BE,87.5,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_2_pct_BE_gt_INT: profile_2_pct_BE_gt_INT,12.5,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_3_pct_INT_gt_BE: profile_3_pct_INT_gt_BE,18.0,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_3_pct_BE_gt_INT: profile_3_pct_BE_gt_INT,82.0,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_4_pct_INT_gt_BE: profile_4_pct_INT_gt_BE,2.5,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_4_pct_BE_gt_INT: profile_4_pct_BE_gt_INT,97.5,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_5_pct_INT_gt_BE: profile_5_pct_INT_gt_BE,48.0,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-profile_5_pct_BE_gt_INT: profile_5_pct_BE_gt_INT,52.0,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-split_sample_n_halves: split_sample_n_halves,2,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-split_sample_n_respondents_total: split_sample_n_respondents_total,1166,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,STAB-split_sample_n_per_half: split_sample_n_per_half,583,varies,14,results/14_k6_stability,VERIFIED,stability_diagnostic
evidence_matrix,PRED-N-TESTS: Number of MNLogit tests,65,count,18,results/18_profile_predictors,VERIFIED,predictor_x_contrast
evidence_matrix,PRED-LL: MNLogit log-likelihood,-1309.941088922808,nats,18,results/18_profile_predictors,VERIFIED,log_likelihood
evidence_matrix,PRED-R2: McFadden pseudo-R2,0.3035309702796983,r2_0_to_1,18,results/18_profile_predictors,VERIFIED,mcfadden_pseudo_R2
evidence_matrix,PRED-FDR-SIG: FDR-significant tests,21,count,18,results/18_profile_predictors,VERIFIED,fdr_significant_count_0.05
evidence_matrix,ROB-VIF-MAX: Max VIF (Phase 18B),67.44221815766522,vif,18B,results/18B_predictor_multicollinearity,VERIFIED,max_VIF
evidence_matrix,ROB-PAIR70: Pairs |r|>=0.70 (Phase 18B),1,count,18B,results/18B_predictor_multicollinearity,VERIFIED,count_high_correlation_pairs
sample,N,1166,count,01,01_data/data_dimensions.csv,VERIFIED,
sample,N_variables,34,count,01,01_data/data_dimensions.csv,VERIFIED,
sample,missing_values,0,count,01,01_data/missing_values.csv,VERIFIED,
sample,duplicate_rows,42,count,01,01_data/duplicate_information.csv,VERIFIED,
measurement,INT-BE_pearson_r,0.6515,r,02,02_measurement/int_be_correlation.csv,VERIFIED,
measurement,INT-BE_95CI,"[0.6171, 0.6833]",r,02,02_measurement/int_be_correlation.csv,VERIFIED,
lpa,selected_K,6,K,04/05,04_lpa/model_fit.csv,VERIFIED,
lpa,K6_BIC,2129.1734,nats,04,04_lpa/model_fit.csv,VERIFIED,
lpa,K6_AIC,1952.0267,nats,04,04_lpa/model_fit.csv,VERIFIED,
lpa,K6_entropy,0.1418,entropy_normalized_0_to_1,04,04_lpa/model_fit.csv,VERIFIED,
profile,profile_sizes,"[124,377,262,90,54,259]",count,04,04_lpa/K_6/profile_sizes.csv,VERIFIED,
classification,mean_max_posterior,0.8948,probability,13,05_profiles/k6_classification_quality.csv,VERIFIED,
classification,pct_maxprob_>=0.80,88.85,percent,13,05_profiles/k6_classification_quality.csv,VERIFIED,
predictor,n_tests,65,tests,18,06_predictors/multinomial_results.csv,VERIFIED,
predictor,n_FDR_significant,21,tests,18,06_predictors/phase18_master.csv,VERIFIED,
predictor,McFadden_R2,0.3035,R2,18,06_predictors/phase18_master.csv,VERIFIED,
predictor,max_VIF,67.44,VIF,18B,06_predictors/vif_full.csv,VERIFIED,
