respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3
230,3,0.0,0.32670167381842513,0.053662907842462054,0.619635418339113
231,0,0.9992823545394433,0.00022472457833780718,0.00015131705610649403,0.0003416038261123498
232,1,0.0,0.9782163629634423,0.02119176653603855,0.0005918705005192407
233,2,0.0,0.08245022465982334,0.917549019193882,7.56146294582068e-07
234,2,0.0,0.08245022465982334,0.917549019193882,7.56146294582068e-07
235,3,0.0,0.2871367179146447,0.023675699022882083,0.6891875830624732
236,1,0.0,0.7771378932986712,0.030450431541967207,0.19241167515936142
237,3,0.0,0.24423339641493363,0.0907778551926036,0.6649887483924628
238,3,0.0,0.1555740293214843,0.07398418595597023,0.7704417847225455
239,1,0.0,0.5807358242007901,0.07340702621691364,0.34585714958229624
240,1,0.0,0.5807358242007901,0.07340702621691364,0.34585714958229624
241,2,0.0,0.038877028847892646,0.961122683175121,2.8797698635651245e-07
242,2,0.0,0.08245022465982334,0.917549019193882,7.56146294582068e-07
243,2,0.0,0.05361620549958492,0.9463837902507081,4.2497070250651335e-09
244,2,0.0,0.20430893147853568,0.7956889705413794,2.0979800850995405e-06
245,2,0.0,0.1271487715999413,0.8728187377742963,3.2490625762264355e-05
246,2,0.0,0.1271487715999413,0.8728187377742963,3.2490625762264355e-05
247,2,0.0,0.20430893147853568,0.7956889705413794,2.0979800850995405e-06
248,2,0.0,0.08245022465982334,0.917549019193882,7.56146294582068e-07
249,2,0.0,0.20430893147853568,0.7956889705413794,2.0979800850995405e-06
250,2,0.0,0.08245022465982334,0.917549019193882,7.56146294582068e-07
251,2,0.0,0.038877028847892646,0.961122683175121,2.8797698635651245e-07
252,2,0.0,0.266187239360653,0.7336772379300802,0.0001355227092667839
253,3,0.0,0.24423339641493363,0.0907778551926036,0.6649887483924628
254,2,0.0,0.08245022465982334,0.917549019193882,7.56146294582068e-07
255,2,0.0,0.08245022465982334,0.917549019193882,7.56146294582068e-07
256,1,0.0,0.7260470346528775,0.014696929900889465,0.259256035446233
257,1,0.0,0.6759853046566194,0.14104703888420222,0.18296765645917853
258,1,0.0,0.6533672641754277,0.19991699684601622,0.14671573897855625
259,1,0.0,0.7260470346528775,0.014696929900889465,0.259256035446233
