baseline_profile,target_profile,predictor,beta,SE,z,p_value
0,1,age,0.01348562823268286,0.01808578795914877,0.7456478126993135,0.45588019213669984
0,1,gender,-0.29108479881477606,0.27989986940483547,-1.0399604666973359,0.2983582679751311
0,1,Education,-0.08989058633120933,0.19427008908591836,-0.46270934838277705,0.6435727165662517
0,1,Occupation,0.031140222270978398,0.07567838132504745,0.4114810825198219,0.6807198099327031
0,1,income,-0.01810894547183684,0.16220558946700472,-0.11164193250887015,0.9111073225003226
0,2,const,17.539693097178095,1.533925642431774,11.43451325930763,2.8110867382768506e-30
0,2,ATT,-0.4382146378236687,0.18071734158725153,-2.4248621298587207,0.015314201375431019
0,2,CON,0.24658515730839506,0.1947409139377034,1.2662216291501864,0.20543374594932307
0,2,SNO,-1.1238943823389307,0.2064420529624839,-5.444115509465373,5.206342892399733e-08
0,2,COVID,-0.2746749561102607,0.20278179654227713,-1.3545345824618675,0.17556588804667106
0,2,PU,-0.9874562656496123,0.20927006060838063,-4.718573993713784,2.3750358317284964e-06
0,2,PEU,-0.5426807637930882,0.1396446340324374,-3.886155508610745,0.00010184427958527921
0,2,PO,0.13738107138214498,0.1533838766617385,0.8956682695216726,0.3704299619966943
0,2,PRI,-1.368939420932119,0.2086545720566615,-6.560792833048368,5.3522436515835256e-11
0,2,age,-0.00031859903438995603,0.015454749411094178,-0.020614959577490787,0.9835528069850423
0,2,gender,-0.019037453204692488,0.19977869583466784,-0.09529270939103256,0.9240823333660773
0,2,Education,-0.15739424130405263,0.14678618376207414,-1.072268774009229,0.28359932787168407
0,2,Occupation,-0.05600233623497203,0.05754838554675462,-0.9731347926254765,0.33048631392732386
0,2,income,0.04885574148661369,0.11124469830161006,0.43917366159917565,0.6605357079879846
0,3,const,7.447682827626633,1.3525282490524135,5.506489666921566,3.660594391965427e-08
0,3,ATT,-0.2979756220592747,0.16974092436410196,-1.7554730727170043,0.07917842261762292
0,3,CON,0.15732586936597756,0.18338162008582667,0.8579151459799819,0.39093932019292665
0,3,SNO,-0.6451116648926943,0.19406287423715796,-3.324240493853164,0.0008865970395010643
0,3,COVID,-0.18058554534088103,0.1935838510039067,-0.9328543905102737,0.3508951540011186
0,3,PU,-0.2418994411342539,0.19138240486876323,-1.263958624096775,0.20624487822270543
0,3,PEU,-0.16103556566045907,0.129735667495139,-1.2412590058666235,0.21451008333728083
0,3,PO,0.010163813914677862,0.14204996298894143,0.07155097897117449,0.9429592531380108
0,3,PRI,-0.7768789585294317,0.1909307737771414,-4.068903839651443,4.7234835273031746e-05
0,3,age,0.025375661890602325,0.013315289874586078,1.9057536208081356,0.056682178827745636
0,3,gender,-0.26585173848787635,0.1861761705757154,-1.4279579264402045,0.1533039689407669
0,3,Education,-0.0016566155692550961,0.14003503519408547,-0.011830007875950925,0.9905612395197668
0,3,Occupation,-0.04999956162996731,0.05308567400809135,-0.941865438542729,0.3462615368012585
0,3,income,0.2256922394433236,0.10720149084496165,2.1053087756934947,0.03526443871118363
0,4,const,31.314986777435387,2.431827827927788,12.877139745587808,6.053776292890741e-38
0,4,ATT,-0.890253535838078,0.32968073811759224,-2.7003504691273097,0.006926646629250715
0,4,CON,-0.22956060272473608,0.3776519543003558,-0.6078628750909651,0.5432784239572155
0,4,SNO,-2.4597710108959348,0.38685546138421406,-6.358372199514998,2.0390292555982402e-10
0,4,COVID,-0.2646513015346299,0.379366210530361,-0.6976143214353289,0.4854184227820607
0,4,PU,-2.597891807382811,0.41924244959675994,-6.196633499020774,5.768360594990586e-10
0,4,PEU,-0.9191940558842158,0.2863092990859071,-3.21049319326653,0.0013250740671253269
0,4,PO,0.5341461707603273,0.3078512006383024,1.7350790565468714,0.08272680333954979
0,4,PRI,-2.079511933766633,0.3741767923305999,-5.557565237582406,2.7356375121622226e-08
0,4,age,-0.06354963842410309,0.04071820086304477,-1.5607182310891292,0.1185902477685599
0,4,gender,-0.07013400434870155,0.40081777533437857,-0.17497728061135237,0.861097485607393
0,4,Education,0.11242771858085285,0.2848855320232285,0.39464172779292245,0.6931073135756807
0,4,Occupation,-0.0077026498563550795,0.11163831815336284,-0.06899646988387612,0.9449924294293892
0,4,income,0.13837086148959837,0.2350818108013645,0.5886072640750444,0.5561247598692096
0,5,const,-10.72718907700502,2.2071765105569288,-4.8601410107877,1.1730217091987088e-06
0,5,ATT,-0.24282556565110794,0.2616048965163121,-0.9282149106714707,0.35329610141526646
0,5,CON,0.5178366774824715,0.3015365360376966,1.7173264782007518,0.0859195367272153
0,5,SNO,0.8515432690629536,0.34838059264401283,2.4442902017021644,0.01451374672257246
0,5,COVID,0.4243577719930583,0.32021832251458604,1.3252138998814744,0.18510021641774987
0,5,PU,0.7252467159113224,0.2980536323429003,2.4332758846466644,0.01496289521297726
0,5,PEU,-0.5088036124694826,0.181081521172037,-2.8098041654183605,0.004957165312060604
0,5,PO,-0.27306880131773875,0.20634608454590492,-1.3233534424395164,0.18571786694536585
0,5,PRI,0.4112532271282338,0.2935886982244423,1.4007801717688722,0.1612798197493971
0,5,age,0.005311096656374298,0.018788811106154945,0.2826733754662347,0.7774272274891064
0,5,gender,-0.41390542397712365,0.2916491735375576,-1.419189428712104,0.15584379709599677
0,5,Education,-0.11227797475472225,0.19545025277959394,-0.5744580687820153,0.5656578675435151
0,5,Occupation,0.18623355109057926,0.07523349553480982,2.475407393564623,0.01330842706136917
0,5,income,0.14107439600542548,0.1716984654541259,0.8216404009919209,0.4112815884054549
