profile,reference_profile,predictor,beta,SE,z,p,OR,CI_lower,CI_upper,p_FDR,significant_FDR,specification,dropped_predictor
4,0,PEU,0.2770496974011766,0.2412237286332562,1.1485175980443794,0.25075495243160284,1.3192319318044052,0.8222187412745978,2.1166786920892475,0.37613242864740426,False,drop_CON,CON
4,0,PO,-0.20566029853607098,0.25903496319726926,-0.7939480292451851,0.42722568728584065,0.8141095835326276,0.4899907202104986,1.352626461405111,0.5229117739620535,False,drop_CON,CON
4,0,PRI,1.261896670448746,0.42179181342302857,2.991752400806199,0.002773811344674533,3.532114395233728,1.545248464922161,8.073673835777454,0.010377396253768574,True,drop_CON,CON
4,0,age,-0.023187536040647983,0.0248508008845464,-0.9330699701942915,0.3507838427839107,0.9770792290203689,0.930628508248358,1.025848457597713,0.4677117903785476,False,drop_CON,CON
4,0,gender,0.4009457869335221,0.35670475392258466,1.1240270350322807,0.26100155704573735,1.4932363133860427,0.7421562111955762,3.004427712088695,0.3819534981157132,False,drop_CON,CON
4,0,Education,0.0016976461354002896,0.23713038871230463,0.007159125174209269,0.9942878933485217,1.0016990879523837,0.6293435948254278,1.5943612854008127,0.9942878933485217,False,drop_CON,CON
4,0,Occupation,-0.230633616757281,0.09782344594299831,-2.3576517319955292,0.018390937739371678,0.7940303321556652,0.655493054996478,0.9618472134485448,0.0459773443484292,True,drop_CON,CON
4,0,income,-0.17230167843531397,0.20963265384527802,-0.8219219442906226,0.41112132275586255,0.84172520451933,0.55811978009299,1.269443128865747,0.5229117739620535,False,drop_CON,CON
5,0,ATT,-0.5570791943308385,0.22032409435084008,-2.5284533494723265,0.011456631056289353,0.5728798934171835,0.3719802865499453,0.8822816266033972,0.03436989316886806,True,drop_CON,CON
5,0,SNO,-1.7147762508840105,0.32967274392451845,-5.201449869561022,1.9773981195383282e-07,0.1800039919416898,0.09433199768004132,0.3434829952912085,1.6949126738899957e-06,True,drop_CON,CON
5,0,COVID,-0.7579259607073373,0.2908463796667947,-2.6059322504741083,0.00916245828186071,0.4686373921172174,0.265010756075823,0.8287248734447223,0.028934078784823295,True,drop_CON,CON
5,0,PU,-1.29170891848945,0.28777859542986245,-4.488551056272932,7.170923910577572e-06,0.27480076948078397,0.1563348706716128,0.4830365905112366,4.825224141709503e-05,True,drop_CON,CON
5,0,PEU,-0.029856750036750267,0.17353741076387397,-0.17204791696111715,0.8633998583187555,0.9705845597930394,0.6907411861170869,1.3638022556670952,0.9088419561250058,False,drop_CON,CON
5,0,PO,0.12056860368331071,0.2004664360308925,0.6014403511654725,0.5475467296090538,1.1281381327422428,0.7615910014199542,1.6711012133471472,0.6168261847846505,False,drop_CON,CON
5,0,PRI,-0.9926842381867738,0.26688325999888163,-3.719544785952231,0.00019958215727903397,0.3705806281118032,0.21963780554091378,0.6252566655978403,0.00099791078639517,True,drop_CON,CON
5,0,age,0.023380449106402086,0.01684410251500652,1.388049561297332,0.16512195390295548,1.02365591445177,0.9904122664065592,1.058015400994583,0.2938652314954141,False,drop_CON,CON
5,0,gender,0.37565727283213896,0.27153446173105233,1.3834607601454931,0.16652363118073465,1.4559480552985502,0.8550885294743766,2.479023711183055,0.2938652314954141,False,drop_CON,CON
5,0,Education,0.2973008295579373,0.18554041296678225,1.602350802200509,0.1090780575308536,1.346220221372884,0.93579543395571,1.9366507023574886,0.2181561150617072,False,drop_CON,CON
5,0,Occupation,-0.23710525531484034,0.07140779510926401,-3.320439385532571,0.0008987587352448113,0.7889082468615213,0.6858718106022452,0.9074235335895021,0.0038518231510491913,True,drop_CON,CON
5,0,income,0.014346818429787685,0.1614040797840979,0.08888758232740275,0.929171252353443,1.014450227970137,0.7393342366460953,1.3919404973007863,0.9449199176475691,False,drop_CON,CON
1,0,ATT,-0.766054833180453,0.24915262903841312,-3.0746407779720695,0.0021075623004655733,0.4648433400951887,0.28524866051028075,0.7575121665577934,0.008430249201862293,True,drop_SNO,SNO
1,0,CON,-0.4473807035613914,0.2812228485851738,-1.5908405231372709,0.11164547061909912,0.6393004779715863,0.3684031269234518,1.1093963955947121,0.19619360230809596,False,drop_SNO,SNO
1,0,COVID,-1.513626811143934,0.29272066271709,-5.170891583443943,2.3297971417464433e-07,0.2201102303329513,0.12401418682164525,0.3906691221295719,2.795756570095732e-06,True,drop_SNO,SNO
1,0,PU,-2.2096848571046013,0.2972251708684864,-7.434379970740512,1.0505957468348477e-13,0.10973522534354638,0.06128340490594304,0.19649397254738912,6.303574481009086e-12,True,drop_SNO,SNO
1,0,PEU,-0.43380516023121796,0.17940538489544905,-2.4180163849821112,0.01560537410327367,0.6480385068583951,0.45591918337009224,0.9211147977301951,0.03601240177678539,True,drop_SNO,SNO
1,0,PO,0.02107850290237792,0.20450326316308226,0.10307171913227005,0.9179060503152244,1.0213022236793823,0.684033837265161,1.524863501289216,0.9428324288598883,False,drop_SNO,SNO
1,0,PRI,-1.9492462660375074,0.2820788849046545,-6.91028776115721,4.8367156665338585e-12,0.14238134881041514,0.08191109063923824,0.24749332881378952,9.673431333067717e-11,True,drop_SNO,SNO
1,0,age,-0.006062569371776458,0.01797397253594869,-0.3372971311517845,0.7358929221336473,0.9939557709201028,0.9595493272363609,1.0295959222761455,0.8176588023707192,False,drop_SNO,SNO
1,0,gender,0.7309155007883597,0.27638974617173656,2.644510192263792,0.0081809242852749,2.076981215477581,1.2082724332407195,3.5702635024756026,0.02134154161376061,True,drop_SNO,SNO
