profile,predictor,primary_beta,primary_p,primary_FDR_p,primary_OR,beta_drop_ATT,beta_drop_CON,beta_drop_COVID,beta_drop_PEU,beta_drop_PO,beta_drop_PRI,beta_drop_PU,beta_drop_SNO,p_FDR_drop_ATT,p_FDR_drop_CON,p_FDR_drop_COVID,p_FDR_drop_PEU,p_FDR_drop_PO,p_FDR_drop_PRI,p_FDR_drop_PU,p_FDR_drop_SNO,std_beta,std_FDR_p,n_FDR_sig_dropouts_of_total,fdr_sig_in_drop_ATT,fdr_sig_in_drop_CON,fdr_sig_in_drop_COVID,fdr_sig_in_drop_PEU,fdr_sig_in_drop_PO,fdr_sig_in_drop_PRI,fdr_sig_in_drop_PU,fdr_sig_in_drop_SNO,fdr_sig_in_standardized,primary_significant_FDR
1,Education,0.10576882871735915,0.5854893640102188,0.656151873459728,1.1115648849229522,0.06675171015390058,0.11418126388852433,0.1204161816768193,0.14030996792099468,0.11166766162199104,0.11998954537467527,0.08614038010798883,-0.01685406286908265,0.8083752035007623,0.6168261847846505,0.5986862570977484,0.5820786355236125,0.6518014745781462,0.6787844358254561,0.764105639145826,0.9428324288598883,0.07677688042149713,0.6563840787746579,0,False,False,False,False,False,False,False,False,False,False
1,Occupation,-0.25139507699934927,0.0009079001159607684,0.004539500579803842,0.7777150535261157,-0.23611861187144667,-0.2544057468332394,-0.26235823101242073,-0.2461053008792209,-0.25065102196677497,-0.2352998198240294,-0.24148925234290292,-0.24146170617975796,0.0077859363344621926,0.003596644380283386,0.002286677904200238,0.004684938358813722,0.0043097173261102545,0.007542904825643413,0.005929947549234097,0.004333506669491064,-0.5236245384891142,0.004546614045191982,8,True,True,True,True,True,True,True,True,True,True
1,income,-0.16857868731926381,0.31198500046112576,0.48283392928507557,0.8448647806585652,-0.16188600649192186,-0.17668061649228914,-0.15007067770024468,-0.17414586668681997,-0.16987734360781837,-0.11625850341584726,-0.15139033287637757,-0.2849317796460779,0.4554553391371941,0.402631075864921,0.5004608627581875,0.46574589622969936,0.4397405175367407,0.6630495590420926,0.48915213713553035,0.14474828657071467,-0.14583149910667303,0.4825078144427224,0,False,False,False,False,False,False,False,False,False,False
2,ATT,-0.11796820799378017,0.6146027842865871,0.6771047623496299,0.888724306494171,,-0.22688985982966414,-0.14005532542407073,-0.11516183182336362,-0.0938158268734298,-0.11402574315331929,-0.15439835332978538,-0.17141112178271986,,0.4016021033133255,0.608081311863087,0.6785082141205689,0.7490161352043507,0.7324214427489641,0.6166979810677953,0.5853512785584084,-0.09221104383234553,0.6772407614745507,0,False,False,False,False,False,False,False,False,False,False
2,CON,-0.2930532100631265,0.2731439826297608,0.43303314319352326,0.7459824458681127,-0.3734167683579119,,-0.3978108072575502,-0.28601582395417413,-0.2825634356684819,-0.32150509045938513,-0.2915478692804096,-0.41969997690143424,0.21407616084188558,,0.25207343760170686,0.4613875446989497,0.43310728385248065,0.41545615163942035,0.46041709622534766,0.19619360230809596,-0.227704618823165,0.43374166658029517,0,False,False,False,False,False,False,False,False,False,False
2,SNO,-1.166067900456913,0.0003575371014813314,0.0019366592996905452,0.31158973747612284,-1.1661089446951407,-1.2080788187896885,-1.3230934107977288,-1.1546615356159295,-1.1258511506593012,-1.284685883040674,-1.2293824959172377,,0.0017172314328851822,0.00099791078639517,0.00017468385225645112,0.0019736984113274364,0.002310147274390774,0.0004793601458956222,0.001168434201162757,,-0.9766772497242452,0.00192611823519197,7,True,True,True,True,True,True,True,False,True,True
2,COVID,-0.4678393551856505,0.10553684704059134,0.2212869373431754,0.6263541361198184,-0.4747912950991844,-0.5360597810047406,,-0.4633861513744395,-0.48128498035087414,-0.4733646721099632,-0.6569486656864548,-0.7765340823338894,0.19607180640641603,0.12273205053694254,,0.20944568362581628,0.17950352269178088,0.2230397979766499,0.061554461375638296,0.01693410635278652,-0.3601316776536922,0.22171438159356857,1,False,False,False,False,False,False,False,True,False,False
2,PU,-1.2204907155897957,1.1511873037198067e-05,8.31413052686527e-05,0.29508532841868934,-1.2335351504998673,-1.2207835071689401,-1.2880616262485154,-1.2002285401382844,-1.176952639569359,-1.3099945751554358,,-1.253222692861646,5.971804894797555e-05,6.342976224367612e-05,2.140121584508668e-05,8.561320175924582e-05,0.00010067141059756994,1.3107689390445129e-05,,4.1986962802268034e-05,-0.915207411296069,8.244284241862277e-05,7,True,True,True,True,True,True,False,True,True,True
2,PEU,0.11343565150981527,0.49754027160192893,0.615749855747693,1.1201198085547683,0.10548861885926925,0.11100749414555013,0.12256870504924336,,0.13666871473011175,0.08472633023586132,-0.015371706918151378,0.07620990229106106,0.6178802284200076,0.5835963778988565,0.5616063742256988,,0.5392298473097649,0.7284025984328022,0.9424449140490664,0.7578826333384083,0.10132608035305553,0.6147028959461194,0,False,False,False,False,False,False,False,False,False,False
2,PO,0.15685538097667548,0.4152185365827139,0.5742384016569447,1.169826422512379,0.14055500181930425,0.146310560841206,0.17355517348705987,0.18692815877759011,,0.1251781721055924,-0.010626525617984802,0.04000053935513817,0.5748763354680902,0.5229117739620535,0.5004608627581875,0.4943592847205058,,0.6787844358254561,0.9551496262661733,0.8913385199232525,0.14081883161120942,0.5744195502820856,0,False,False,False,False,False,False,False,False,False,False
2,PRI,-0.6177894004688007,0.01555462301736455,0.04966698266319967,0.5391349326853729,-0.607247367410913,-0.6280536081924346,-0.6188643957828801,-0.6129236452915835,-0.6036259208821302,,-0.7848419182066942,-0.7886896783374908,0.04848155210122723,0.037727183937102345,0.04067032371067925,0.04838591407007124,0.0454876661380947,,0.009391718137058809,0.008468841083460002,-0.44042953240619126,0.04987503154281789,7,True,True,True,True,True,False,True,True,True,True
2,age,-0.002146466470132485,0.8948252512372121,0.9088068957877936,0.9978558355416629,-0.0018550344437828032,-0.002349908500494983,-0.001624180704930018,-0.0018825501910239117,-0.0023202336734216276,-0.004326470581109283,-0.004561149836665198,-0.0054283135380553335,0.909253510848096,0.9152644324064108,0.9354162063471607,0.9231987654822491,0.9328661408764362,0.8288156117629613,0.8627800128604582,0.8176588023707192,-0.016991066242597788,0.9094161973110029,0,False,False,False,False,False,False,False,False,False,False
2,gender,0.6225759904555133,0.016046255937341432,0.04966698266319967,1.8637227957083273,0.5921227184498001,0.6216409109099397,0.6340165398779186,0.6155324513459164,0.6180774653124189,0.5256224902435824,0.5514483152642742,0.6725178833765894,0.054068644833935184,0.04158815218781646,0.04067032371067925,0.04929978228707922,0.0454876661380947,0.11205304600063588,0.07115111288593584,0.02134154161376061,0.6221279452282531,0.04987503154281789,5,False,True,True,True,True,False,False,True,True,True
2,Education,0.2916570203560579,0.09510691327616373,0.20606497876502142,1.338643811316814,0.27632456520419146,0.3073263049319297,0.30054475195282593,0.287396548948233,0.2935626081946382,0.3064268413058763,0.28036591956340584,0.24056470602611946,0.2076447444396048,0.16119511260766756,0.171625709251356,0.19744351810092628,0.17950352269178088,0.18204509937293456,0.2185649293969645,0.25325977066616934,0.21182565060462127,0.20607633600837738,0,False,False,False,False,False,False,False,False,False,False
2,Occupation,-0.1526170867729905,0.022389794262408756,0.058213465082262765,0.8584583739509754,-0.14946147301620571,-0.15551875377750035,-0.16251374149196732,-0.15639701838681236,-0.15117277681194746,-0.15006170450956596,-0.13918788381517969,-0.15862300774556454,0.06244441311098268,0.047457070441892305,0.04067032371067925,0.04964508834744377,0.059265825614256175,0.07390142128905368,0.08001350863058493,0.03601240177678539,-0.31789020920662225,0.05825119012654192,4,False,True,True,True,False,False,False,True,False,False
2,income,-0.20678378399248937,0.17548688289806613,0.31685131634373054,0.8131954568557637,-0.2056795539775518,-0.21825757438664195,-0.19832087500362483,-0.21002533783709043,-0.21166219690927615,-0.1939444991610054,-0.22034257555686323,-0.2454023744407938,0.28430911706886564,0.28460951660139755,0.324415369442753,0.2889507906227463,0.28302944425021254,0.39561311869800747,0.26832524004064184,0.17762564002151257,-0.1788803697578222,0.3165148935362937,0,False,False,False,False,False,False,False,False,False,False
