respondent,assigned_class,post_profile_0,post_profile_1
261,0,0.9158152345842944,0.0841847654157054
262,0,0.8967031315133432,0.10329686848665662
263,1,0.03576496867310303,0.964235031326897
264,0,0.9141927262017082,0.08580727379829184
265,1,0.0906581141862837,0.9093418858137164
266,0,0.5292801819648223,0.47071981803517765
267,0,0.9196398183364037,0.08036018166359632
268,0,0.8799887993279241,0.12001120067207591
269,1,0.3744088917892375,0.6255911082107625
270,1,0.37268670999519105,0.6273132900048091
271,0,0.5996599278706654,0.40034007212933476
272,0,0.8987933321790375,0.1012066678209624
273,0,0.8534730654971349,0.14652693450286514
274,0,0.8367322011739955,0.16326779882600448
275,0,0.9082674359843185,0.09173256401568156
276,0,0.9155583687304025,0.08444163126959771
277,0,0.9180583922153185,0.08194160778468144
278,0,0.8987933321790375,0.1012066678209624
279,1,0.35961581328447256,0.6403841867155272
280,0,0.8486496577447404,0.15135034225525967
281,0,0.8942790671658533,0.10572093283414667
282,0,0.8367322011739955,0.16326779882600448
283,0,0.8367322011739955,0.16326779882600448
284,0,0.8367322011739955,0.16326779882600448
285,0,0.8907236239108801,0.1092763760891198
286,1,0.12407860988598868,0.8759213901140112
287,0,0.8551229964166008,0.14487700358339914
288,0,0.6530777731073946,0.3469222268926054
289,1,0.3412079591640343,0.6587920408359659
290,0,0.9082674359843185,0.09173256401568156
291,0,0.9155583687304025,0.08444163126959771
292,0,0.6051833976310945,0.39481660236890515
293,0,0.9180583922153185,0.08194160778468144
294,0,0.9098715210949928,0.09012847890500726
295,0,0.897095225456204,0.10290477454379605
296,0,0.8367322011739955,0.16326779882600448
297,0,0.8367322011739955,0.16326779882600448
298,0,0.8367322011739955,0.16326779882600448
299,0,0.8367322011739955,0.16326779882600448
300,1,0.3694040971423122,0.6305959028576875
301,0,0.9082674359843185,0.09173256401568156
302,1,0.2817979064772141,0.7182020935227861
303,1,0.12407860988598868,0.8759213901140112
304,1,0.2817979064772141,0.7182020935227861
305,1,0.12407860988598868,0.8759213901140112
306,0,0.7084992382795349,0.291500761720465
307,1,0.12407860988598868,0.8759213901140112
308,1,0.12407860988598868,0.8759213901140112
309,0,0.8184007155377541,0.18159928446224588
310,0,0.7084992382795349,0.291500761720465
311,0,0.8367322011739955,0.16326779882600448
312,1,0.37268670999519105,0.6273132900048091
313,1,0.43304757008960476,0.5669524299103952
314,1,0.30775969470781644,0.6922403052921837
315,0,0.8367322011739955,0.16326779882600448
316,1,0.43304757008960476,0.5669524299103952
317,1,0.011289540830557245,0.9887104591694427
318,0,0.5996599278706654,0.40034007212933476
319,1,0.03576496867310303,0.964235031326897
320,1,0.0906581141862837,0.9093418858137164
321,0,0.6530777731073946,0.3469222268926054
322,0,0.7922202802150948,0.20777971978490514
323,0,0.7258787746327156,0.2741212253672845
324,1,0.03576496867310303,0.964235031326897
325,1,0.12407860988598868,0.8759213901140112
326,0,0.7922202802150948,0.20777971978490514
327,0,0.6530777731073946,0.3469222268926054
328,0,0.8184007155377541,0.18159928446224588
329,1,0.30775969470781644,0.6922403052921837
330,1,0.24247724788032862,0.7575227521196715
331,0,0.7922202802150948,0.20777971978490514
332,1,0.12407860988598868,0.8759213901140112
333,1,0.010642121644682872,0.9893578783553172
334,1,0.0007456266591586473,0.9992543733408413
335,1,1.5276668182923018e-05,0.9999847233318168
336,1,6.382399346457939e-05,0.999936176006535
337,1,0.0007456266591586473,0.9992543733408413
338,1,0.0002090436313526618,0.9997909563686472
339,1,0.0002090436313526618,0.9997909563686472
340,1,0.005339020615077236,0.9946609793849229
341,1,1.5276668182923018e-05,0.9999847233318168
342,1,0.0002090436313526618,0.9997909563686472
343,1,0.010642121644682872,0.9893578783553172
344,1,0.0007456266591586473,0.9992543733408413
345,1,0.0002090436313526618,0.9997909563686472
346,1,0.016610225463235827,0.9833897745367641
347,1,0.0007456266591586473,0.9992543733408413
348,1,0.0003569999890222544,0.9996430000109774
349,1,8.093073676757109e-06,0.9999919069263232
350,1,0.0007456266591586473,0.9992543733408413
351,1,0.0002090436313526618,0.9997909563686472
352,1,0.0007456266591586473,0.9992543733408413
353,1,4.847589091881573e-05,0.9999515241090814
354,0,0.8947770680258257,0.10522293197417432
355,0,0.7563085600400921,0.24369143995990813
356,0,0.7084992382795349,0.291500761720465
357,1,0.30775969470781644,0.6922403052921837
358,1,0.37268670999519105,0.6273132900048091
359,0,0.8184007155377541,0.18159928446224588
360,0,0.7922202802150948,0.20777971978490514
361,0,0.8799887993279241,0.12001120067207591
362,0,0.6530777731073946,0.3469222268926054
363,0,0.8987933321790375,0.1012066678209624
364,0,0.9082674359843185,0.09173256401568156
365,0,0.8551229964166008,0.14487700358339914
366,0,0.6530777731073946,0.3469222268926054
367,0,0.6530777731073946,0.3469222268926054
368,0,0.8184007155377541,0.18159928446224588
369,1,0.37268670999519105,0.6273132900048091
370,0,0.7084992382795349,0.291500761720465
371,0,0.7672301205368146,0.23276987946318523
372,0,0.5996599278706654,0.40034007212933476
373,0,0.6468085948816343,0.3531914051183657
374,1,0.12407860988598868,0.8759213901140112
375,1,0.1622308561311148,0.8377691438688852
376,0,0.9180583922153185,0.08194160778468144
377,0,0.8583672477961114,0.1416327522038887
378,1,0.43304757008960476,0.5669524299103952
379,0,0.7258787746327156,0.2741212253672845
380,0,0.9074459016110682,0.09255409838893183
381,0,0.8987933321790375,0.1012066678209624
382,0,0.9176175896850907,0.08238241031490931
383,0,0.9196398183364037,0.08036018166359632
384,0,0.7563085600400921,0.24369143995990813
385,0,0.6947703708977992,0.30522962910220064
386,0,0.8367322011739955,0.16326779882600448
387,0,0.9196398183364037,0.08036018166359632
388,0,0.9141927262017082,0.08580727379829184
389,0,0.9141927262017082,0.08580727379829184
390,0,0.9098715210949928,0.09012847890500726
391,0,0.9155583687304025,0.08444163126959771
392,1,0.37268670999519105,0.6273132900048091
393,0,0.7258787746327156,0.2741212253672845
394,0,0.6530777731073946,0.3469222268926054
395,1,0.0020613861163916985,0.997938613883608
396,1,0.12407860988598868,0.8759213901140112
397,0,0.6947703708977992,0.30522962910220064
398,0,0.767802503262902,0.23219749673709777
399,1,0.30775969470781644,0.6922403052921837
400,0,0.8907236239108801,0.1092763760891198
401,0,0.8907236239108801,0.1092763760891198
402,0,0.8907236239108801,0.1092763760891198
403,1,0.12407860988598868,0.8759213901140112
404,1,0.37268670999519105,0.6273132900048091
405,0,0.8184007155377541,0.18159928446224588
406,0,0.8184007155377541,0.18159928446224588
407,0,0.8799887993279241,0.12001120067207591
408,1,0.12407860988598868,0.8759213901140112
409,0,0.9082674359843185,0.09173256401568156
410,0,0.919997572111041,0.08000242788895913
411,1,0.12407860988598868,0.8759213901140112
412,0,0.863876634731978,0.13612336526802205
413,0,0.8367322011739955,0.16326779882600448
414,0,0.8808778055045038,0.1191221944954962
415,0,0.8367322011739955,0.16326779882600448
416,0,0.7563085600400921,0.24369143995990813
417,0,0.9074459016110682,0.09255409838893183
418,0,0.8486496577447404,0.15135034225525967
419,0,0.9141927262017082,0.08580727379829184
420,0,0.9141927262017082,0.08580727379829184
421,0,0.7563085600400921,0.24369143995990813
422,0,0.8367322011739955,0.16326779882600448
423,0,0.9212317466791067,0.07876825332089328
424,0,0.8907236239108801,0.1092763760891198
425,0,0.7922202802150948,0.20777971978490514
426,0,0.876992344784619,0.12300765521538093
427,0,0.5292801819648223,0.47071981803517765
428,1,0.48581042473464325,0.5141895752653567
429,0,0.9150642466055321,0.08493575339446777
430,1,0.43304757008960476,0.5669524299103952
431,1,0.3744088917892375,0.6255911082107625
432,1,0.12407860988598868,0.8759213901140112
433,1,0.4578692119093789,0.5421307880906212
434,0,0.8967031315133432,0.10329686848665662
435,0,0.9180583922153185,0.08194160778468144
436,0,0.8408795361432747,0.15912046385672537
437,0,0.5341654868192665,0.4658345131807333
438,0,0.5341654868192665,0.4658345131807333
439,1,0.30775969470781644,0.6922403052921837
440,0,0.5996599278706654,0.40034007212933476
441,1,0.18148728559917082,0.8185127144008291
442,1,0.4578692119093789,0.5421307880906212
443,1,0.37268670999519105,0.6273132900048091
444,1,0.48581042473464325,0.5141895752653567
445,1,0.4578692119093789,0.5421307880906212
446,0,0.5341654868192665,0.4658345131807333
447,0,0.5341654868192665,0.4658345131807333
448,0,0.7563085600400921,0.24369143995990813
449,0,0.5341654868192665,0.4658345131807333
450,0,0.5341654868192665,0.4658345131807333
451,1,0.4578692119093789,0.5421307880906212
452,0,0.5341654868192665,0.4658345131807333
453,0,0.5996599278706654,0.40034007212933476
454,0,0.9155583687304025,0.08444163126959771
455,0,0.5292801819648223,0.47071981803517765
456,1,0.43304757008960476,0.5669524299103952
457,0,0.8907236239108801,0.1092763760891198
458,1,0.30775969470781644,0.6922403052921837
459,1,0.02488321648042264,0.9751167835195772
460,0,0.8799887993279241,0.12001120067207591
461,0,0.5292801819648223,0.47071981803517765
462,0,0.8184007155377541,0.18159928446224588
463,1,0.24247724788032862,0.7575227521196715
464,1,0.016610225463235827,0.9833897745367641
465,1,0.0012932459544427375,0.9987067540455569
466,1,0.37268670999519105,0.6273132900048091
467,0,0.6530777731073946,0.3469222268926054
468,1,0.12407860988598868,0.8759213901140112
