respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3,post_profile_4,post_profile_5
684,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
685,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
686,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
687,0,0.9999080112901125,3.822787423841438e-06,7.281124333842298e-05,1.535466265736348e-05,1.6467964733528203e-11,0.0
688,5,0.0,0.0006075543670558869,7.425167851879739e-05,6.264051345858459e-05,2.342246025059861e-06,0.9992532111949415
689,0,0.9999192478892461,2.900693565684066e-06,5.099546529828104e-05,2.6753646546731212e-05,1.0230534302688387e-07,0.0
690,4,0.0,0.014707156542056267,0.20322904412210457,0.0015448261406033666,0.7805189731952357,0.0
691,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
692,5,0.0,0.0006075543670558869,7.425167851879739e-05,6.264051345858459e-05,2.342246025059861e-06,0.9992532111949415
693,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
694,2,0.0,0.044678236633293004,0.9327449072142341,0.022576856152472912,6.434885652285746e-18,0.0
695,1,0.0,0.7757701293744377,1.5853028303515146e-05,0.22421401759725884,9.898465962774617e-21,0.0
696,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
697,0,0.9999080112901125,3.822787423841438e-06,7.281124333842298e-05,1.535466265736348e-05,1.6467964733528203e-11,0.0
698,2,0.0,0.040184936381756284,0.9271561302060557,0.032658933384688685,2.7499321496801488e-11,0.0
699,2,0.0,0.03975287091668099,0.9252273677010419,0.03501637547448069,3.385907796559327e-06,0.0
700,0,0.9998924176229602,5.11951723479379e-06,9.642808806645588e-05,6.0347717383093356e-06,7.05644818217312e-17,0.0
701,1,0.0,0.6722250727268051,4.402979233527869e-11,0.32777492722916496,5.035536098160723e-42,0.0
702,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
703,1,0.0,0.9882746365503297,2.0581066346158434e-05,0.01170324673345439,1.535649869568172e-06,0.0
704,4,0.0,0.014707156542056267,0.20322904412210457,0.0015448261406033666,0.7805189731952357,0.0
705,2,0.0,0.040184936381756284,0.9271561302060557,0.032658933384688685,2.7499321496801488e-11,0.0
706,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
707,2,0.0,0.03975287091668099,0.9252273677010419,0.03501637547448069,3.385907796559327e-06,0.0
708,1,0.0,0.7757701293744377,1.5853028303515146e-05,0.22421401759725884,9.898465962774617e-21,0.0
709,1,0.0,0.9882746365503297,2.0581066346158434e-05,0.01170324673345439,1.535649869568172e-06,0.0
710,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
711,5,0.0,0.000562615357964762,7.476551981030677e-05,0.00014081768835168317,1.0541545976728687e-09,0.9992218003797185
712,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
713,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
714,2,0.0,0.009058284493304255,0.9872692821740457,0.0036724333326498084,6.857383237723751e-19,0.0
715,2,0.0,0.008146383499022684,0.9824352357935285,0.009418380702805512,4.643212371108572e-12,0.0
716,0,0.9999080112901125,3.822787423841438e-06,7.281124333842298e-05,1.535466265736348e-05,1.6467964733528203e-11,0.0
717,1,0.0,0.7634882333319652,6.609089581708991e-11,0.2365117666019438,9.951695723585918e-33,0.0
718,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
719,1,0.0,0.7757701293744377,1.5853028303515146e-05,0.22421401759725884,9.898465962774617e-21,0.0
720,1,0.0,0.9246255015409977,5.135044171888762e-06,0.07536936341483068,1.400568917639475e-61,0.0
721,2,0.0,0.040184936381756284,0.9271561302060557,0.032658933384688685,2.7499321496801488e-11,0.0
722,5,0.0,0.000562615357964762,7.476551981030677e-05,0.00014081768835168317,1.0541545976728687e-09,0.9992218003797185
723,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
724,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
725,5,0.0,0.0005647138612905943,7.448254772072222e-05,0.00023122897358866072,1.3471023221153347e-14,0.9991295746173864
726,1,0.0,0.8469925110192761,1.1208994266181839e-17,0.15300748898072367,2.3651995753932977e-38,0.0
727,1,0.0,0.7634882333319652,6.609089581708991e-11,0.2365117666019438,9.951695723585918e-33,0.0
728,2,0.0,0.040184936381756284,0.9271561302060557,0.032658933384688685,2.7499321496801488e-11,0.0
729,0,0.9999080112901125,3.822787423841438e-06,7.281124333842298e-05,1.535466265736348e-05,1.6467964733528203e-11,0.0
730,2,0.0,0.15104885456862097,0.8487307884055738,0.00022035702580494148,6.49601823532521e-60,0.0
731,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
732,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
733,2,0.0,0.01098831189424752,0.9879589308906934,0.001052757215059251,2.8942514772149958e-27,0.0
734,2,0.0,0.044678236633293004,0.9327449072142341,0.022576856152472912,6.434885652285746e-18,0.0
735,4,0.0,0.014707156542056267,0.20322904412210457,0.0015448261406033666,0.7805189731952357,0.0
736,2,0.0,0.10043310208479114,0.8984243175114882,0.0011425804037207522,4.3579711450579416e-47,0.0
737,3,0.0,3.0233229074839405e-06,4.388273439149199e-98,0.9999969766770921,4.119894861857969e-217,0.0
738,2,0.0,0.07112770858865036,0.9246198156087149,0.004252475802634642,8.157517570611718e-36,0.0
739,1,0.0,0.8318074204847657,7.336684415992637e-06,0.16818524283081807,5.062725546441587e-49,0.0
740,5,0.0,0.000562615357964762,7.476551981030677e-05,0.00014081768835168317,1.0541545976728687e-09,0.9992218003797185
741,2,0.0,0.054186761723166416,0.9343401039026026,0.011473134374230956,4.3028695179421225e-26,0.0
742,2,0.0,0.01098831189424752,0.9879589308906934,0.001052757215059251,2.8942514772149958e-27,0.0
743,0,0.9999192478892461,2.900693565684066e-06,5.099546529828104e-05,2.6753646546731212e-05,1.0230534302688387e-07,0.0
744,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
745,1,0.0,0.6722250727268051,4.402979233527869e-11,0.32777492722916496,5.035536098160723e-42,0.0
746,2,0.0,0.00799843806585677,0.974229628168964,0.017771034611000217,8.991541789826387e-07,0.0
747,0,0.9998550976701369,9.634771864688297e-06,0.00013496819727452559,2.993607239355265e-07,2.443967774894697e-32,0.0
748,4,0.0,0.0028266911403110537,0.20515950652243797,0.004174750784688717,0.7878390515525621,0.0
749,1,0.0,0.7279995404794599,3.3380893278632436e-26,0.2720004595205399,1.8247871686188163e-54,0.0
750,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
751,1,0.0,0.8469925110192761,1.1208994266181839e-17,0.15300748898072367,2.3651995753932977e-38,0.0
752,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
753,1,0.0,0.7757701293744377,1.5853028303515146e-05,0.22421401759725884,9.898465962774617e-21,0.0
754,3,0.0,0.18769537287700527,1.1436180906669703e-27,0.8123046271229947,3.1048387781744317e-106,0.0
755,5,0.0,0.000614413953932518,7.341606514069612e-05,0.0002773548470713034,4.888174174308396e-21,0.9990348151338554
756,5,0.0,0.0007110050820192385,7.294454924431866e-05,2.0349798429389282e-05,0.00014774362837340616,0.9990479569419336
757,1,0.0,0.848828744502976,1.3929510885447957e-11,0.15117125548309476,3.899996318065856e-79,0.0
758,4,0.0,0.0028266911403110537,0.20515950652243797,0.004174750784688717,0.7878390515525621,0.0
759,2,0.0,0.040184936381756284,0.9271561302060557,0.032658933384688685,2.7499321496801488e-11,0.0
760,5,0.0,0.005518868899367303,5.3644431153620974e-05,1.1247007930968817e-06,3.665486014180928e-92,0.994426361968686
761,1,0.0,0.8469925110192761,1.1208994266181839e-17,0.15300748898072367,2.3651995753932977e-38,0.0
762,0,0.9998924176229602,5.11951723479379e-06,9.642808806645588e-05,6.0347717383093356e-06,7.05644818217312e-17,0.0
763,2,0.0,0.10043310208479114,0.8984243175114882,0.0011425804037207522,4.3579711450579416e-47,0.0
764,2,0.0,0.008565447283555497,0.961813608195577,0.024645998606846506,0.004974945914021096,0.0
765,0,0.9998777301445174,1.7524064091248478e-06,1.9961369160230536e-05,2.608171246863539e-05,7.447436744469357e-05,0.0
766,1,0.0,0.7757701293744377,1.5853028303515146e-05,0.22421401759725884,9.898465962774617e-21,0.0
767,0,0.9999157952587338,2.2366067481373526e-06,3.3128242995440716e-05,3.1921587224436464e-05,1.6918304298064732e-05,0.0
768,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
769,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
770,2,0.0,0.03975287091668099,0.9252273677010419,0.03501637547448069,3.385907796559327e-06,0.0
771,5,0.0,0.0006075543670558869,7.425167851879739e-05,6.264051345858459e-05,2.342246025059861e-06,0.9992532111949415
772,1,0.0,0.6722250727268051,4.402979233527869e-11,0.32777492722916496,5.035536098160723e-42,0.0
773,1,0.0,0.9980793640665628,1.7427200430900614e-05,0.0018504564842868638,5.2752248719034056e-05,0.0
774,1,0.0,0.9514791135126709,2.1571721867132835e-05,0.048499313626821826,1.1386402341089261e-09,0.0
775,1,0.0,0.8711729098313418,1.9626953841802524e-05,0.12880746321479525,2.103286282833328e-14,0.0
776,1,0.0,0.8711729098313418,1.9626953841802524e-05,0.12880746321479525,2.103286282833328e-14,0.0
777,1,0.0,0.8829030668312965,9.219923804988847e-11,0.11709693307650441,5.245725392835659e-25,0.0
778,1,0.0,0.9582034179476349,1.527893643338885e-17,0.041796582052365305,7.696909414902103e-31,0.0
779,1,0.0,0.8711729098313418,1.9626953841802524e-05,0.12880746321479525,2.103286282833328e-14,0.0
780,1,0.0,0.9990261054775448,1.0593077047832318e-10,0.0009738943983580087,1.8166323152836275e-11,0.0
781,1,0.0,0.6722250727268051,4.402979233527869e-11,0.32777492722916496,5.035536098160723e-42,0.0
782,1,0.0,0.8829030668312965,9.219923804988847e-11,0.11709693307650441,5.245725392835659e-25,0.0
783,1,0.0,0.7242464398653949,1.2253604245092329e-05,0.2757413065303599,1.2793697426966807e-28,0.0
784,1,0.0,0.992952192436369,1.74132460089678e-17,0.0070478075636309185,6.010235491529902e-25,0.0
785,1,0.0,0.8829030668312965,9.219923804988847e-11,0.11709693307650441,5.245725392835659e-25,0.0
786,1,0.0,0.7634882333319652,6.609089581708991e-11,0.2365117666019438,9.951695723585918e-33,0.0
