profile,reference_profile,predictor,beta,SE,z,p,p_FDR,OR,CI_lower,CI_upper,significant_FDR
1,0,Occupation,-0.10461466370558815,0.0808355279909694,-1.2941668880702464,0.1956077814277023,0.3814351737840195,0.9006715171520736,0.7687016942621454,1.0552977674749036,False
1,0,income,0.004695377636372498,0.1623250117817278,0.02892578035162068,0.9769237844743444,0.9905612395197669,1.0047064181950474,0.7309124122784119,1.3810614921912385,False
2,0,ATT,0.042865828623186976,0.2593235143251356,0.1652986569102349,0.8687089159092679,0.9679899348703271,1.0437978376619963,0.6278787154348402,1.7352299084598073,False
2,0,CON,-0.01379528068591627,0.2870425814447623,-0.048060049545544506,0.9616683852357453,0.9905612395197669,0.986299438140826,0.5619183410223141,1.7311885209283093,False
2,0,SNO,0.7560072571955065,0.3431489419900254,2.2031461114558297,0.027584452050173826,0.08964946916306493,2.129755655036192,1.0870149167381042,4.172766242959909,False
2,0,COVID,-0.0700775476998692,0.3045513438698781,-0.2301009307967801,0.8180133416270675,0.9383094212781069,0.9323215177133128,0.5132469417567703,1.6935773828793381,False
2,0,PU,1.796112011023175,0.32916559262675205,5.456560622543028,4.854455878908146e-08,4.512163840079769e-07,6.026172167178008,3.1611865558434817,11.487696264348191,True
2,0,PEU,0.115792945244833,0.19135856871476312,0.6051098000081335,0.5451060431052063,0.7459345853018612,1.1227633745685903,0.7716147751352181,1.6337136559518852,False
2,0,PO,0.09668806886507356,0.21871164652773886,0.44208011050207496,0.6584312364914541,0.8050278941103561,1.1015167226646394,0.7174968236482109,1.691072420558546,False
2,0,PRI,2.005367174066611,0.3323150410530373,6.034536287349557,1.5941980553962405e-09,2.486948966418135e-08,7.428821066495295,3.8730011350604427,14.24925542582962,True
2,0,age,0.01348562823268286,0.01808578795914877,0.7456478126993135,0.45588019213669984,0.6709180186162753,1.0135769694531667,0.9782769039318121,1.05015079971414,False
2,0,gender,-0.29108479881477606,0.27989986940483547,-1.0399604666973359,0.2983582679751311,0.5171543311568939,0.7474522922621251,0.43184500370041984,1.2937163204867757,False
2,0,Education,-0.08989058633120933,0.19427008908591836,-0.46270934838277705,0.6435727165662517,0.8050278941103561,0.9140311873059259,0.6245899272779116,1.3376024410271112,False
2,0,Occupation,0.031140222270978398,0.07567838132504745,0.4114810825198219,0.6807198099327031,0.8168637719192436,1.0316301512675141,0.889416717123327,1.1965828261542144,False
