construct,profile_1,profile_2,mean_1,mean_2,t_statistic,df,p_value,cohens_d,CI95_lower,CI95_upper
INT,2,5,4.5925925925925934,2.1142857142857143,31.840986983047966,176.0,3.7769552545401874e-66,4.953874275781103,2.3244307502580974,2.632183006355661
INT,2,6,4.5925925925925934,5.0,-8.68865417485712,179.0,4.6539583326968036e-14,-1.0813723499156398,-0.5003605452671162,-0.31445426954769695
INT,3,4,3.523989898989899,4.0,-46.80492234820822,507.0,1.5087353267103196e-129,-3.9995918159758763,-0.4960352549831425,-0.45598494703705994
INT,3,5,3.523989898989899,2.1142857142857143,22.39345265337681,332.0,2.317670465714669e-34,5.0547127697702186,1.284234054752894,1.5351743146554748
INT,3,6,3.523989898989899,5.0,-145.13250457574375,335.0,4.630511161279699e-253,-10.081084519216422,-1.4960352549831426,-1.4559849470370598
INT,4,5,4.0,2.1142857142857143,30.35370506946626,313.0,1.2072289084926639e-41,7.726989345411497,1.76177893548674,2.0096496359418317
INT,4,6,4.0,5.0,-inf,316.0,0.0,,0.0,0.0
INT,5,6,2.1142857142857143,5.0,-46.45036684872867,141.0,8.589612572581494e-54,-7.936429070041952,-3.0096496359418317,-2.7617789354867397
BE,0,1,4.01067615658363,2.978,19.978539960456622,404.0,1.1336273966739198e-53,2.1064757455244822,0.9308729556538833,1.1344793575133758
BE,0,2,4.01067615658363,5.0,-33.32494393506434,387.0,1.915695730964754e-99,-2.337183084015156,-1.0477622546825376,-0.9308854321502029
BE,0,3,4.01067615658363,3.596590909090909,9.382835022784155,543.0,1.8242419483727952e-19,0.8058338962796954,0.3273913841642742,0.5007791108211669
BE,0,4,4.01067615658363,3.8316326530612246,4.362835155030309,524.0,1.5469123303261777e-05,0.3783640215293241,0.09842353491095347,0.2596634721338569
BE,0,5,4.01067615658363,2.732142857142857,9.947004913172323,349.0,1.8406950361975865e-15,1.9843387677003452,1.022584984710543,1.534481614171002
BE,0,6,4.01067615658363,4.092465753424658,-1.2412578530787468,352.0,0.21711589696551048,-0.16401653817929066,-0.21235374673160232,0.04877455304954667
BE,1,2,2.978,5.0,-47.78590957224298,231.0,1.0017516084905119e-81,-5.833645009450038,-2.1057507213235023,-1.9382492786764973
BE,1,3,2.978,3.596590909090909,-11.573522271473028,387.0,1.9754863754420016e-25,-1.206170596800982,-0.7238195320683403,-0.5133622861134777
BE,1,4,2.978,3.8316326530612246,-16.762830058738512,368.0,4.5450721121299826e-42,-1.8815675560788612,-0.9539565724679058,-0.753308733654543
BE,1,5,2.978,2.732142857142857,1.8622206795898062,193.0,0.06602384129601588,0.3360684679327258,-0.016637555059543063,0.508351840773829
BE,1,6,2.978,4.092465753424658,-15.379703744872764,196.0,3.779297624756618e-32,-2.3019590005176767,-1.2576995381046534,-0.9712319687446613
BE,2,3,5.0,3.596590909090909,42.97737805810896,370.0,6.306262623143499e-121,3.137335336668721,1.339111367933375,1.4677068138848066
BE,2,4,5.0,3.8316326530612246,41.23551017276244,351.0,5.851539957011345e-112,3.159708183517118,1.112556884813184,1.224177809064367
BE,2,5,5.0,2.732142857142857,18.134277438106928,176.0,5.901029682440401e-28,3.4616489567413864,2.0183709846850006,2.517343301029285
BE,2,6,5.0,4.092465753424658,15.427443898152841,179.0,1.5923694887072085e-24,2.8470350446941635,0.7902668322201694,1.0248016609305155
BE,3,4,3.596590909090909,3.8316326530612246,-5.436560181323248,507.0,8.495336490182926e-08,-0.47908983711096215,-0.3199828732486943,-0.15010061469193653
BE,3,5,3.596590909090909,2.732142857142857,6.688076207873002,332.0,2.9815915505414376e-09,1.287879921001418,0.6071595003851341,1.12173660351097
BE,3,6,3.596590909090909,4.092465753424658,-7.370137926753512,335.0,2.3772826554991008e-11,-0.9450819542253813,-0.6290867894645529,-0.3626628992029439
BE,4,5,3.8316326530612246,2.732142857142857,8.574442573718743,313.0,8.55526047811491e-13,1.750139681340437,0.8441114815539033,1.3548681102828315
BE,4,6,3.8316326530612246,4.092465753424658,-3.994746680825143,316.0,0.0001188045027573366,-0.5699549850387191,-0.39026299834964306,-0.13140320237722294
BE,5,6,2.732142857142857,4.092465753424658,-9.842878245300682,141.0,2.577626429951854e-16,-1.6684594282053948,-1.6345733132420543,-1.0860724793215464
ATT,0,1,3.915776986951365,2.9653333333333336,13.238154745160996,404.0,4.174783829020201e-30,1.4451542207367365,0.8089810744728019,1.0919062327632605
ATT,0,2,3.915776986951365,4.138888888888889,-2.6882795000614106,387.0,0.007897143556044867,-0.32681251339667877,-0.38694469961969974,-0.05927910425534927
ATT,0,3,3.915776986951365,3.5366161616161613,6.782377334184349,543.0,3.110057342449668e-11,0.5814802008593307,0.26934535132467347,0.48897629934573345
ATT,0,4,3.915776986951365,3.706122448979592,3.955787673082445,524.0,8.678213814051019e-05,0.3425457863632764,0.10553705443537022,0.3137720215081756
ATT,0,5,3.915776986951365,2.561904761904762,11.26091026703581,349.0,1.4046318925589112e-18,1.881619698109058,1.1148532070798014,1.592891243013404
ATT,0,6,3.915776986951365,3.977168949771689,-0.7955882136357673,352.0,0.42777875763949175,-0.09682053021951396,-0.2141112147295202,0.09132728908887153
ATT,1,2,2.9653333333333336,4.138888888888889,-12.342824926177585,231.0,7.866481995250237e-27,-1.6359111427334694,-1.3609602344893459,-0.9861508766217655
ATT,1,3,2.9653333333333336,3.5366161616161613,-7.863968986143144,387.0,1.315390104472113e-13,-0.863514331149033,-0.714397383560518,-0.42816827300513743
ATT,1,4,2.9653333333333336,3.706122448979592,-10.51734510110228,368.0,3.9147870219099354e-21,-1.2239701009240087,-0.879621825693619,-0.6019564055988975
ATT,1,5,2.9653333333333336,2.561904761904762,3.1305696496303375,193.0,0.002241567400614917,0.5133583100196731,0.14800697040754512,0.6588501724495979
ATT,1,6,2.9653333333333336,3.977168949771689,-11.237997636420314,196.0,2.6041338776963435e-22,-1.5834373216387596,-1.1895586347334957,-0.8341125981432154
ATT,2,3,4.138888888888889,3.5366161616161613,7.192986076761865,370.0,1.7845986648087022e-11,0.8757217923132092,0.4370195962575304,0.7675258582879255
ATT,2,4,4.138888888888889,3.706122448979592,5.289251233110614,351.0,3.9530220346642097e-07,0.6842049813044786,0.2711883841306004,0.5943444956879944
ATT,2,5,4.138888888888889,2.561904761904762,11.644604963886849,176.0,1.1930689461250649e-21,1.872622025953558,1.3089472316069013,1.845021022361353
ATT,2,6,4.138888888888889,3.977168949771689,1.630287452374232,179.0,0.10481763296971382,0.23378152877329747,-0.03404045743028941,0.35748033566468973
ATT,3,4,3.5366161616161613,3.706122448979592,-3.1305935252334267,507.0,0.0018456558782475514,-0.2762175198962252,-0.2758839319725702,-0.06312864275429089
ATT,3,5,3.5366161616161613,2.561904761904762,8.073012282695355,332.0,3.510079801458494e-12,1.3413020519069896,0.7347345585578181,1.2146882408649802
ATT,3,6,3.5366161616161613,3.977168949771689,-5.651241451150852,335.0,9.689719392910406e-08,-0.69101890447585,-0.5947879916329322,-0.2863175846781234
ATT,4,5,3.706122448979592,2.561904761904762,9.581459933053763,313.0,4.294956475374473e-15,1.7063701358693586,0.9067127790559952,1.3817225950936642
ATT,4,6,3.706122448979592,3.977168949771689,-3.571051033451446,316.0,0.0005163244699665649,-0.4780596427439265,-0.42135780316504035,-0.12073519841915412
ATT,5,6,2.561904761904762,3.977168949771689,-10.727023935909926,141.0,6.842068028444415e-19,-1.8124660990031651,-1.6766774288289696,-1.1538509469048843
CON,0,1,4.109134045077105,3.1919999999999997,12.056047776173433,404.0,1.5627192112297968e-25,1.3999928159049086,0.7671300901055139,1.0671380000486963
CON,0,2,4.109134045077105,4.3580246913580245,-3.557195887902233,387.0,0.00047270518837521215,-0.4059457345635995,-0.38690008151369304,-0.11088121104814641
CON,0,3,4.109134045077105,3.808080808080809,5.7990531371543765,543.0,1.1341585509520523e-08,0.49683160501516793,0.1990754269679469,0.403031047024645
