respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2,post_profile_3,post_profile_4
110,0,0.4998569106515176,0.013918567036110864,0.0,0.02237274380924283,0.4638517785031285
111,0,0.9095230474016002,0.05980205038535615,0.0,0.029593836194834622,0.0010810660182088894
112,2,0.00012777946877753031,2.687166019089533e-06,0.9988569222218918,8.600084394017591e-05,0.0009266102993714639
113,2,0.0005024261987663839,1.751748752432569e-05,0.999371588055509,0.00010723876623644984,1.2294919638743286e-06
114,0,0.4998569106515176,0.013918567036110864,0.0,0.02237274380924283,0.4638517785031285
115,0,0.7653397300714933,0.19313508516437755,0.0,0.0415251725842806,1.2179848608274256e-08
116,0,0.8974884649993571,0.0323988488483246,0.0,0.07011264488108551,4.127123284183178e-08
117,2,0.00012777946877753031,2.687166019089533e-06,0.9988569222218918,8.600084394017591e-05,0.0009266102993714639
118,4,0.11450195595365358,0.002194619321717419,0.0,0.016170672001954205,0.8671327527226748
119,0,0.8519677140815356,0.09650946600663826,0.0,0.05152281991182626,3.168988105992291e-23
120,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
121,0,0.7843665953436192,0.19892259034483226,0.0,0.015887660210743806,0.000823154100804783
122,1,0.03287584050465999,0.6905320582092594,0.0,0.2765921012860805,3.090097118077671e-36
123,3,0.0005747078623343702,0.22233197265102814,0.0,0.7770933194866374,9.977944714537455e-99
124,2,0.000732899038110132,4.319874798670494e-05,0.9991485609928473,7.53411671378454e-05,5.391813755151618e-11
125,2,0.0008715495664939842,0.00010413007341738501,0.9989854413303109,3.887902977787014e-05,2.6769435942642866e-17
126,2,0.00028068229674186045,6.940914561101496e-06,0.9992830153656438,0.0001120759341254071,0.0003172854889276201
127,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
128,0,0.9064930545120622,0.03541221305709315,0.0,0.05809470481605066,2.761479412063816e-08
129,0,0.46657340281649334,0.009210604519593924,0.0,0.06003337645146962,0.46418261621244306
130,0,0.8838219654385717,0.06601694896633291,0.0,0.050161066692048645,1.8903046724385834e-08
131,0,0.732501467577512,0.2551115203847855,0.0,0.012387012037702592,3.929567126809615e-33
132,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
133,0,0.8519677140815356,0.09650946600663826,0.0,0.05152281991182626,3.168988105992291e-23
134,1,0.15839526264766726,0.5934753705990592,0.0,0.24812936675327354,2.7857617302325987e-61
135,0,0.43541057425823493,0.32166901335016596,0.0,0.24292041239159903,1.733316365085261e-34
136,0,0.43541057425823493,0.32166901335016596,0.0,0.24292041239159903,1.733316365085261e-34
137,0,0.9191428972932172,0.027684516208988222,0.0,0.0518612053979063,0.0013113810998882404
138,0,0.5825685978315006,0.3955218310333612,0.0,0.021909571135138074,9.841040657728207e-46
139,1,0.35948722062152405,0.5659081296232801,0.0,0.0746046497551952,8.006899050991378e-16
140,0,0.9191428972932172,0.027684516208988222,0.0,0.0518612053979063,0.0013113810998882404
141,0,0.8878338211514223,0.053936723825784176,0.0,0.0582294550227855,8.019726229460372e-15
142,0,0.9191428972932172,0.027684516208988222,0.0,0.0518612053979063,0.0013113810998882404
143,0,0.8838219654385717,0.06601694896633291,0.0,0.050161066692048645,1.8903046724385834e-08
144,0,0.732501467577512,0.2551115203847855,0.0,0.012387012037702592,3.929567126809615e-33
145,0,0.6726976386478356,0.2189036869560625,0.0,0.10839867439610174,6.012941219770374e-34
146,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
147,0,0.8835351747977285,0.02153988952883519,0.0,0.09332129142162032,0.0016036442518161322
148,1,6.006427251762221e-05,0.9999394745785855,0.0,3.926660612536021e-07,6.848283559202844e-08
149,2,0.0004299815615330602,0.0012714016737784657,0.9982977781983695,8.385663189975091e-07,6.894149020222402e-48
150,0,0.7671627838726764,0.19429329131861572,0.0,0.038543924808708094,1.631825432397433e-33
151,2,0.0008715495664939842,0.00010413007341738501,0.9989854413303109,3.887902977787014e-05,2.6769435942642866e-17
152,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
153,2,0.0008715495664939842,0.00010413007341738501,0.9989854413303109,3.887902977787014e-05,2.6769435942642866e-17
154,2,0.000732899038110132,4.319874798670494e-05,0.9991485609928473,7.53411671378454e-05,5.391813755151618e-11
155,2,0.000732899038110132,4.319874798670494e-05,0.9991485609928473,7.53411671378454e-05,5.391813755151618e-11
156,0,0.8838219654385717,0.06601694896633291,0.0,0.050161066692048645,1.8903046724385834e-08
157,0,0.732501467577512,0.2551115203847855,0.0,0.012387012037702592,3.929567126809615e-33
158,0,0.6983113805355758,0.21024590367965248,0.0,0.09144271578476942,2.3403532325063567e-15
159,0,0.8974884649993571,0.0323988488483246,0.0,0.07011264488108551,4.127123284183178e-08
160,1,0.2853650339987328,0.4335820934333124,0.0,0.2810528725679546,6.407395584480131e-47
161,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
162,0,0.7671627838726764,0.19429329131861572,0.0,0.038543924808708094,1.631825432397433e-33
163,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
164,3,7.2955913148631974e-06,0.12984763479203157,0.0,0.8701450696166534,1.2598639447400877e-83
165,3,4.130036999695483e-09,0.007735712197092718,0.0,0.9922642836728702,1.4557366149931935e-125
166,1,0.15839526264766726,0.5934753705990592,0.0,0.24812936675327354,2.7857617302325987e-61
167,4,0.10587934716787518,0.0032680192618458875,0.0,0.003387078453114002,0.8874655551171651
168,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
169,0,0.8878338211514223,0.053936723825784176,0.0,0.0582294550227855,8.019726229460372e-15
170,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
171,4,0.10587934716787518,0.0032680192618458875,0.0,0.003387078453114002,0.8874655551171651
172,0,0.7671627838726764,0.19429329131861572,0.0,0.038543924808708094,1.631825432397433e-33
173,0,0.6726976386478356,0.2189036869560625,0.0,0.10839867439610174,6.012941219770374e-34
174,2,0.00012777946877753031,2.687166019089533e-06,0.9988569222218918,8.600084394017591e-05,0.0009266102993714639
175,0,0.732501467577512,0.2551115203847855,0.0,0.012387012037702592,3.929567126809615e-33
176,3,0.08339304518268158,0.4451898869569972,0.0,0.4714170678603214,7.448184301666187e-48
177,0,0.8959343895879879,0.057423226903031394,0.0,0.04664238350896633,1.449600190365546e-14
178,4,0.10587934716787518,0.0032680192618458875,0.0,0.003387078453114002,0.8874655551171651
179,0,0.9191428972932172,0.027684516208988222,0.0,0.0518612053979063,0.0013113810998882404
180,0,0.6726976386478356,0.2189036869560625,0.0,0.10839867439610174,6.012941219770374e-34
181,0,0.9191428972932172,0.027684516208988222,0.0,0.0518612053979063,0.0013113810998882404
182,4,0.11450195595365358,0.002194619321717419,0.0,0.016170672001954205,0.8671327527226748
183,3,4.382833159091886e-15,8.965464773795667e-05,0.0,0.9999103453522581,1.2660556412196658e-178
184,2,0.0008715495664939842,0.00010413007341738501,0.9989854413303109,3.887902977787014e-05,2.6769435942642866e-17
185,0,0.732501467577512,0.2551115203847855,0.0,0.012387012037702592,3.929567126809615e-33
186,3,0.08339304518268158,0.4451898869569972,0.0,0.4714170678603214,7.448184301666187e-48
187,1,0.165324943365059,0.48993662570967483,0.0,0.3447384309252659,3.106418646080502e-35
188,0,0.8838219654385717,0.06601694896633291,0.0,0.050161066692048645,1.8903046724385834e-08
189,0,0.8519677140815356,0.09650946600663826,0.0,0.05152281991182626,3.168988105992291e-23
190,2,0.0005024261987663839,1.751748752432569e-05,0.999371588055509,0.00010723876623644984,1.2294919638743286e-06
191,0,0.9191428972932172,0.027684516208988222,0.0,0.0518612053979063,0.0013113810998882404
192,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
193,0,0.5825685978315006,0.3955218310333612,0.0,0.021909571135138074,9.841040657728207e-46
194,0,0.8563831532491504,0.11684759867335012,0.0,0.02676924807749954,6.770374536431765e-23
195,0,0.8563831532491504,0.11684759867335012,0.0,0.02676924807749954,6.770374536431765e-23
196,0,0.8519677140815356,0.09650946600663826,0.0,0.05152281991182626,3.168988105992291e-23
197,2,0.0002255253708673661,0.002793854932231688,0.9969804939133002,1.2578360069329913e-07,5.615119172715245e-62
198,4,0.10587934716787518,0.0032680192618458875,0.0,0.003387078453114002,0.8874655551171651
199,0,0.8959343895879879,0.057423226903031394,0.0,0.04664238350896633,1.449600190365546e-14
200,2,0.000732899038110132,4.319874798670494e-05,0.9991485609928473,7.53411671378454e-05,5.391813755151618e-11
201,1,0.1060912510541946,0.8922735048355277,0.0,0.0016352441102777128,3.027236480347593e-76
202,0,0.8878338211514223,0.053936723825784176,0.0,0.0582294550227855,8.019726229460372e-15
203,0,0.9191428972932172,0.027684516208988222,0.0,0.0518612053979063,0.0013113810998882404
204,2,0.00012777946877753031,2.687166019089533e-06,0.9988569222218918,8.600084394017591e-05,0.0009266102993714639
205,2,0.0005024261987663839,1.751748752432569e-05,0.999371588055509,0.00010723876623644984,1.2294919638743286e-06
206,0,0.8959343895879879,0.057423226903031394,0.0,0.04664238350896633,1.449600190365546e-14
207,1,0.165324943365059,0.48993662570967483,0.0,0.3447384309252659,3.106418646080502e-35
208,1,0.165324943365059,0.48993662570967483,0.0,0.3447384309252659,3.106418646080502e-35
209,0,0.732501467577512,0.2551115203847855,0.0,0.012387012037702592,3.929567126809615e-33
210,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
211,0,0.5825685978315006,0.3955218310333612,0.0,0.021909571135138074,9.841040657728207e-46
212,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
213,1,0.06981558246278702,0.7734503057129948,0.0,0.15673411182421806,1.3356548011862733e-77
214,0,0.9191428972932172,0.027684516208988222,0.0,0.0518612053979063,0.0013113810998882404
215,4,0.10587934716787518,0.0032680192618458875,0.0,0.003387078453114002,0.8874655551171651
216,0,0.9064930545120622,0.03541221305709315,0.0,0.05809470481605066,2.761479412063816e-08
217,0,0.7671627838726764,0.19429329131861572,0.0,0.038543924808708094,1.631825432397433e-33
218,0,0.8519677140815356,0.09650946600663826,0.0,0.05152281991182626,3.168988105992291e-23
219,1,0.058994103188000524,0.9373258594754352,0.0,0.003680036717792523,6.187714134658293e-10
220,1,0.27281159093281193,0.5381210928097866,0.0,0.1890673162574017,1.4976299789955095e-24
221,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
222,0,0.7737103634866179,0.12856847009590353,0.0,0.09772116641747855,1.4350257858078657e-23
223,0,0.6983113805355758,0.21024590367965248,0.0,0.09144271578476942,2.3403532325063567e-15
224,2,0.0008715495664939842,0.00010413007341738501,0.9989854413303109,3.887902977787014e-05,2.6769435942642866e-17
225,0,0.8974884649993571,0.0323988488483246,0.0,0.07011264488108551,4.127123284183178e-08
226,2,0.0008715495664939842,0.00010413007341738501,0.9989854413303109,3.887902977787014e-05,2.6769435942642866e-17
227,0,0.9064930545120622,0.03541221305709315,0.0,0.05809470481605066,2.761479412063816e-08
228,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
229,2,0.00012777946877753031,2.687166019089533e-06,0.9988569222218918,8.600084394017591e-05,0.0009266102993714639
230,0,0.8838219654385717,0.06601694896633291,0.0,0.050161066692048645,1.8903046724385834e-08
231,2,0.0005024261987663839,1.751748752432569e-05,0.999371588055509,0.00010723876623644984,1.2294919638743286e-06
232,1,0.06289990437039165,0.9147674497820841,0.0,0.022332645847523938,9.867574492923257e-17
233,3,0.0001219180175852535,0.14593073936122633,0.0,0.8539473426211883,6.260432415131486e-82
234,3,0.0001219180175852535,0.14593073936122633,0.0,0.8539473426211883,6.260432415131486e-82
235,0,0.9095230474016002,0.05980205038535615,0.0,0.029593836194834622,0.0010810660182088894
236,0,0.732501467577512,0.2551115203847855,0.0,0.012387012037702592,3.929567126809615e-33
237,0,0.8974884649993571,0.0323988488483246,0.0,0.07011264488108551,4.127123284183178e-08
238,0,0.8835351747977285,0.02153988952883519,0.0,0.09332129142162032,0.0016036442518161322
239,0,0.7671627838726764,0.19429329131861572,0.0,0.038543924808708094,1.631825432397433e-33
240,0,0.7671627838726764,0.19429329131861572,0.0,0.038543924808708094,1.631825432397433e-33
241,3,2.8084306827809505e-05,0.08008525585840635,0.0,0.9198866598347659,1.3039186996972935e-100
242,3,0.0001219180175852535,0.14593073936122633,0.0,0.8539473426211883,6.260432415131486e-82
243,3,7.2955913148631974e-06,0.12984763479203157,0.0,0.8701450696166534,1.2598639447400877e-83
244,3,0.0005120464191997558,0.3084663981946064,0.0,0.6910215553861939,4.038447971541937e-65
245,3,0.0005747078623343702,0.22233197265102814,0.0,0.7770933194866374,9.977944714537455e-99
246,3,0.0005747078623343702,0.22233197265102814,0.0,0.7770933194866374,9.977944714537455e-99
247,3,0.0005120464191997558,0.3084663981946064,0.0,0.6910215553861939,4.038447971541937e-65
248,3,0.0001219180175852535,0.14593073936122633,0.0,0.8539473426211883,6.260432415131486e-82
249,3,0.0005120464191997558,0.3084663981946064,0.0,0.6910215553861939,4.038447971541937e-65
250,3,0.0001219180175852535,0.14593073936122633,0.0,0.8539473426211883,6.260432415131486e-82
251,3,2.8084306827809505e-05,0.08008525585840635,0.0,0.9198866598347659,1.3039186996972935e-100
252,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
253,0,0.8974884649993571,0.0323988488483246,0.0,0.07011264488108551,4.127123284183178e-08
254,3,0.0001219180175852535,0.14593073936122633,0.0,0.8539473426211883,6.260432415131486e-82
255,3,0.0001219180175852535,0.14593073936122633,0.0,0.8539473426211883,6.260432415131486e-82
256,0,0.7843665953436192,0.19892259034483226,0.0,0.015887660210743806,0.000823154100804783
257,0,0.5130000809742371,0.3919740573193246,0.0,0.09502586170643838,3.0689466449557067e-46
258,0,0.5829346140117022,0.2510726346529883,0.0,0.1659927513353094,5.713679554608964e-24
259,0,0.7843665953436192,0.19892259034483226,0.0,0.015887660210743806,0.000823154100804783
260,0,0.8519677140815356,0.09650946600663826,0.0,0.05152281991182626,3.168988105992291e-23
261,2,0.00028068229674186045,6.940914561101496e-06,0.9992830153656438,0.0001120759341254071,0.0003172854889276201
262,0,0.732501467577512,0.2551115203847855,0.0,0.012387012037702592,3.929567126809615e-33
263,3,0.0005120464191997558,0.3084663981946064,0.0,0.6910215553861939,4.038447971541937e-65
264,0,0.8959343895879879,0.057423226903031394,0.0,0.04664238350896633,1.449600190365546e-14
265,3,0.0017027920352789888,0.24219213349968993,0.0,0.7561050744650312,2.755511734262142e-80
266,1,0.35948722062152405,0.5659081296232801,0.0,0.0746046497551952,8.006899050991378e-16
267,2,0.0008715495664939842,0.00010413007341738501,0.9989854413303109,3.887902977787014e-05,2.6769435942642866e-17
268,0,0.8519677140815356,0.09650946600663826,0.0,0.05152281991182626,3.168988105992291e-23
269,1,0.023161584324627938,0.9096984550383385,0.0,0.06713996063703402,6.693747046163114e-96
270,3,0.08339304518268158,0.4451898869569972,0.0,0.4714170678603214,7.448184301666187e-48
271,1,0.2853650339987328,0.4335820934333124,0.0,0.2810528725679546,6.407395584480131e-47
272,0,0.4998569106515176,0.013918567036110864,0.0,0.02237274380924283,0.4638517785031285
273,4,0.09151160444010462,0.008036940806841003,0.0,0.0007158372930055712,0.8997356174600488
274,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
275,2,0.00012777946877753031,2.687166019089533e-06,0.9988569222218918,8.600084394017591e-05,0.0009266102993714639
276,0,0.46657340281649334,0.009210604519593924,0.0,0.06003337645146962,0.46418261621244306
277,0,0.8835351747977285,0.02153988952883519,0.0,0.09332129142162032,0.0016036442518161322
278,0,0.4998569106515176,0.013918567036110864,0.0,0.02237274380924283,0.4638517785031285
279,1,0.028614729816670962,0.9354121770076278,0.0,4.030132564528102e-05,0.035932791850056094
280,0,0.8838219654385717,0.06601694896633291,0.0,0.050161066692048645,1.8903046724385834e-08
281,4,0.10587934716787518,0.0032680192618458875,0.0,0.003387078453114002,0.8874655551171651
282,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
283,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
284,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
285,0,0.8878338211514223,0.053936723825784176,0.0,0.0582294550227855,8.019726229460372e-15
286,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
287,0,0.9095230474016002,0.05980205038535615,0.0,0.029593836194834622,0.0010810660182088894
288,0,0.43541057425823493,0.32166901335016596,0.0,0.24292041239159903,1.733316365085261e-34
289,1,0.045821613947172234,0.9536812875240656,0.0,0.0004524741364902307,4.462439227176542e-05
290,2,0.00012777946877753031,2.687166019089533e-06,0.9988569222218918,8.600084394017591e-05,0.0009266102993714639
291,0,0.46657340281649334,0.009210604519593924,0.0,0.06003337645146962,0.46418261621244306
292,4,0.04755861851468554,0.18653867489038403,0.0,2.7982828519001633e-05,0.7658747237664116
293,0,0.8835351747977285,0.02153988952883519,0.0,0.09332129142162032,0.0016036442518161322
294,4,0.11450195595365358,0.002194619321717419,0.0,0.016170672001954205,0.8671327527226748
295,0,0.9064930545120622,0.03541221305709315,0.0,0.05809470481605066,2.761479412063816e-08
296,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
297,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
298,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
299,0,0.8396732691655211,0.085431667798798,0.0,0.07489506303567627,4.4877115971557464e-15
300,1,0.01175777624125641,0.7238501306348748,0.0,2.1280785402171565e-06,0.26438996504532825
301,2,0.00012777946877753031,2.687166019089533e-06,0.9988569222218918,8.600084394017591e-05,0.0009266102993714639
302,1,0.06289990437039165,0.9147674497820841,0.0,0.022332645847523938,9.867574492923257e-17
303,3,0.005125988949578878,0.32140256238528375,0.0,0.6734714486651373,1.073702848264846e-63
304,1,0.06289990437039165,0.9147674497820841,0.0,0.022332645847523938,9.867574492923257e-17
