respondent,z_INT,z_BE
122,-1.16496116223749,-0.38273057391430226
123,-1.16496116223749,-1.7089232906574723
124,1.4497543626304852,0.6119139636430752
125,1.4497543626304852,0.2803657844572827
126,1.4497543626304852,1.2750103220146602
127,0.14239660019649758,0.2803657844572827
128,0.5781825210078264,0.6119139636430752
129,1.0139684418191564,1.2750103220146602
130,0.14239660019649758,0.6119139636430752
131,1.0139684418191564,-0.38273057391430226
132,0.14239660019649758,-0.05118239472850978
133,0.5781825210078264,-0.05118239472850978
134,-0.2933893206148318,-1.0458269322858873
135,-0.2933893206148318,-0.38273057391430226
136,-0.2933893206148318,-0.38273057391430226
137,0.5781825210078264,0.9434621428288676
138,0.5781825210078264,-0.7142787531000948
139,-0.7291752414261612,0.2803657844572827
140,0.5781825210078264,0.9434621428288676
141,0.5781825210078264,0.2803657844572827
142,0.5781825210078264,0.9434621428288676
143,0.14239660019649758,0.6119139636430752
144,1.0139684418191564,-0.38273057391430226
145,0.14239660019649758,-0.38273057391430226
146,0.14239660019649758,0.2803657844572827
147,1.0139684418191564,0.9434621428288676
148,-2.0365330038601486,0.9434621428288676
149,1.4497543626304852,-0.7142787531000948
150,0.5781825210078264,-0.38273057391430226
151,1.4497543626304852,0.2803657844572827
152,0.14239660019649758,-0.05118239472850978
153,1.4497543626304852,0.2803657844572827
154,1.4497543626304852,0.6119139636430752
155,1.4497543626304852,0.6119139636430752
156,0.14239660019649758,0.6119139636430752
157,1.0139684418191564,-0.38273057391430226
158,-0.2933893206148318,0.2803657844572827
159,1.0139684418191564,0.6119139636430752
160,-0.2933893206148318,-0.7142787531000948
161,0.14239660019649758,0.2803657844572827
162,0.5781825210078264,-0.38273057391430226
163,-1.16496116223749,-1.0458269322858873
164,-2.0365330038601486,-1.3773751114716797
165,-2.4723189246714776,-2.040471469843265
166,-0.2933893206148318,-1.0458269322858873
167,0.5781825210078264,1.6065585012004526
168,0.14239660019649758,-0.05118239472850978
169,0.5781825210078264,0.2803657844572827
170,0.14239660019649758,-0.05118239472850978
171,0.5781825210078264,1.6065585012004526
172,0.5781825210078264,-0.38273057391430226
173,0.14239660019649758,-0.38273057391430226
174,1.4497543626304852,1.6065585012004526
175,1.0139684418191564,-0.38273057391430226
176,-0.7291752414261612,-0.7142787531000948
177,1.0139684418191564,0.2803657844572827
178,0.5781825210078264,1.6065585012004526
179,0.5781825210078264,0.9434621428288676
180,0.14239660019649758,-0.38273057391430226
181,0.5781825210078264,0.9434621428288676
182,1.0139684418191564,1.6065585012004526
183,-3.343890766294136,-2.7035678282148496
184,1.4497543626304852,0.2803657844572827
185,1.0139684418191564,-0.38273057391430226
186,-0.7291752414261612,-0.7142787531000948
187,-0.7291752414261612,-0.38273057391430226
188,0.14239660019649758,0.6119139636430752
189,0.5781825210078264,-0.05118239472850978
190,1.4497543626304852,0.9434621428288676
191,0.5781825210078264,0.9434621428288676
192,0.14239660019649758,-0.05118239472850978
193,0.5781825210078264,-0.7142787531000948
194,1.0139684418191564,-0.05118239472850978
195,1.0139684418191564,-0.05118239472850978
196,0.5781825210078264,-0.05118239472850978
197,1.4497543626304852,-1.0458269322858873
198,0.5781825210078264,1.6065585012004526
199,1.0139684418191564,0.2803657844572827
200,1.4497543626304852,0.6119139636430752
201,0.5781825210078264,-1.3773751114716797
202,0.5781825210078264,0.2803657844572827
203,0.5781825210078264,0.9434621428288676
204,1.4497543626304852,1.6065585012004526
205,1.4497543626304852,0.9434621428288676
206,1.0139684418191564,0.2803657844572827
207,-0.7291752414261612,-0.38273057391430226
208,-0.7291752414261612,-0.38273057391430226
209,1.0139684418191564,-0.38273057391430226
210,0.14239660019649758,0.2803657844572827
211,0.5781825210078264,-0.7142787531000948
212,0.14239660019649758,-0.05118239472850978
213,-0.2933893206148318,-1.3773751114716797
214,0.5781825210078264,0.9434621428288676
215,0.5781825210078264,1.6065585012004526
216,0.5781825210078264,0.6119139636430752
217,0.5781825210078264,-0.38273057391430226
218,0.5781825210078264,-0.05118239472850978
219,-1.16496116223749,0.6119139636430752
220,-0.7291752414261612,-0.05118239472850978
221,0.14239660019649758,0.2803657844572827
222,0.14239660019649758,-0.05118239472850978
223,-0.2933893206148318,0.2803657844572827
224,1.4497543626304852,0.2803657844572827
225,1.0139684418191564,0.6119139636430752
226,1.4497543626304852,0.2803657844572827
227,0.5781825210078264,0.6119139636430752
228,0.14239660019649758,0.2803657844572827
229,1.4497543626304852,1.6065585012004526
230,0.14239660019649758,0.6119139636430752
231,1.4497543626304852,0.9434621428288676
232,-1.16496116223749,0.2803657844572827
233,-1.6007470830488193,-1.3773751114716797
234,-1.6007470830488193,-1.3773751114716797
235,0.14239660019649758,0.9434621428288676
236,1.0139684418191564,-0.38273057391430226
237,1.0139684418191564,0.6119139636430752
238,1.0139684418191564,0.9434621428288676
239,0.5781825210078264,-0.38273057391430226
240,0.5781825210078264,-0.38273057391430226
241,-1.6007470830488193,-1.7089232906574723
242,-1.6007470830488193,-1.3773751114716797
243,-2.0365330038601486,-1.3773751114716797
244,-1.6007470830488193,-1.0458269322858873
245,-1.16496116223749,-1.7089232906574723
246,-1.16496116223749,-1.7089232906574723
247,-1.6007470830488193,-1.0458269322858873
248,-1.6007470830488193,-1.3773751114716797
249,-1.6007470830488193,-1.0458269322858873
250,-1.6007470830488193,-1.3773751114716797
251,-1.6007470830488193,-1.7089232906574723
252,-1.16496116223749,-1.0458269322858873
253,1.0139684418191564,0.6119139636430752
254,-1.6007470830488193,-1.3773751114716797
255,-1.6007470830488193,-1.3773751114716797
256,-0.2933893206148318,0.9434621428288676
257,0.14239660019649758,-0.7142787531000948
258,-0.2933893206148318,-0.05118239472850978
259,-0.2933893206148318,0.9434621428288676
260,0.5781825210078264,-0.05118239472850978
261,1.4497543626304852,1.2750103220146602
262,1.0139684418191564,-0.38273057391430226
263,-1.6007470830488193,-1.0458269322858873
264,1.0139684418191564,0.2803657844572827
265,-1.16496116223749,-1.3773751114716797
266,-0.7291752414261612,0.2803657844572827
267,1.4497543626304852,0.2803657844572827
268,0.5781825210078264,-0.05118239472850978
269,-0.2933893206148318,-1.7089232906574723
270,-0.7291752414261612,-0.7142787531000948
271,-0.2933893206148318,-0.7142787531000948
272,0.5781825210078264,1.2750103220146602
273,0.14239660019649758,1.6065585012004526
274,0.14239660019649758,0.2803657844572827
275,1.4497543626304852,1.6065585012004526
276,1.0139684418191564,1.2750103220146602
277,1.0139684418191564,0.9434621428288676
278,0.5781825210078264,1.2750103220146602
279,-1.16496116223749,1.2750103220146602
280,0.14239660019649758,0.6119139636430752
281,0.5781825210078264,1.6065585012004526
282,0.14239660019649758,0.2803657844572827
283,0.14239660019649758,0.2803657844572827
284,0.14239660019649758,0.2803657844572827
285,0.5781825210078264,0.2803657844572827
286,-1.16496116223749,-1.0458269322858873
287,0.14239660019649758,0.9434621428288676
288,-0.2933893206148318,-0.38273057391430226
289,-1.16496116223749,0.9434621428288676
290,1.4497543626304852,1.6065585012004526
291,1.0139684418191564,1.2750103220146602
292,-0.7291752414261612,1.6065585012004526
293,1.0139684418191564,0.9434621428288676
294,1.0139684418191564,1.6065585012004526
295,0.5781825210078264,0.6119139636430752
296,0.14239660019649758,0.2803657844572827
297,0.14239660019649758,0.2803657844572827
298,0.14239660019649758,0.2803657844572827
299,0.14239660019649758,0.2803657844572827
300,-1.16496116223749,1.6065585012004526
301,1.4497543626304852,1.6065585012004526
302,-1.16496116223749,0.2803657844572827
303,-1.16496116223749,-1.0458269322858873
304,-1.16496116223749,0.2803657844572827
305,-1.16496116223749,-1.0458269322858873
306,0.14239660019649758,-1.0458269322858873
307,-1.16496116223749,-1.0458269322858873
308,-1.16496116223749,-1.0458269322858873
309,0.14239660019649758,-0.05118239472850978
310,0.14239660019649758,-1.0458269322858873
311,0.14239660019649758,0.2803657844572827
312,-0.7291752414261612,-0.7142787531000948
313,-0.7291752414261612,-0.38273057391430226
314,-0.7291752414261612,-1.0458269322858873
315,0.14239660019649758,0.2803657844572827
316,-0.7291752414261612,-0.38273057391430226
317,-2.0365330038601486,-0.7142787531000948
318,-0.2933893206148318,-0.7142787531000948
319,-1.6007470830488193,-1.0458269322858873
320,-1.16496116223749,-1.3773751114716797
321,-0.2933893206148318,-0.38273057391430226
322,0.14239660019649758,-0.38273057391430226
323,-0.2933893206148318,0.2803657844572827
324,-1.6007470830488193,-1.0458269322858873
325,-1.16496116223749,-1.0458269322858873
326,0.14239660019649758,-0.38273057391430226
327,-0.2933893206148318,-0.38273057391430226
328,0.14239660019649758,-0.05118239472850978
329,-0.7291752414261612,-1.0458269322858873
330,-0.7291752414261612,-1.3773751114716797
331,0.14239660019649758,-0.38273057391430226
332,-1.16496116223749,-1.0458269322858873
333,-1.6007470830488193,-2.040471469843265
