respondent,assigned_class,post_profile_0,post_profile_1,post_profile_2
528,1,0.02880021058484302,0.9552939219631376,0.015905867452019228
529,0,0.518778998450136,0.44130125191621744,0.039919749633646376
530,0,0.8686258963262286,0.10279671879748609,0.028577384876285535
531,2,0.20442088426837815,0.23829620782536298,0.557282907906259
532,0,0.689929534576861,0.19960156891406097,0.1104688965090778
533,0,0.6671100690388398,0.26355004988644093,0.06933988107471938
534,1,0.38074881940066146,0.517918011186552,0.10133316941278654
535,1,0.14704100636446088,0.7757245984184373,0.07723439521710206
536,0,0.8874203834103178,0.05156460744823965,0.06101500914144251
537,2,0.18282304596804083,0.07867525305144919,0.7385017009805099
538,1,0.38043083983346493,0.4520264153114558,0.16754274485507922
539,0,0.7227557715264681,0.18778515871897994,0.08945906975455196
540,1,0.16489188238592117,0.6730108856861128,0.16209723192796585
541,0,0.7868753442732696,0.14347403938826553,0.06965061633846491
542,1,0.38074881940066146,0.517918011186552,0.10133316941278654
543,0,0.6013261948862322,0.29982380082991805,0.09885000428384981
544,0,0.6671100690388398,0.26355004988644093,0.06933988107471938
545,0,0.7644110456144666,0.06951491004405277,0.16607404434148054
546,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
547,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
548,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
549,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
550,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
551,0,0.6947434575004048,0.22170531863772466,0.08355122386187047
552,2,3.515256762654788e-05,4.417614255145418e-05,0.9999206712898218
553,1,0.006745816735150877,0.9333989840944961,0.05985519917035317
554,1,1.7371526490670933e-10,0.9999998899260482,1.0990023690767707e-07
555,2,3.515256762654788e-05,4.417614255145418e-05,0.9999206712898218
556,2,9.753489742939618e-09,3.143571711850337e-05,0.9999685545293926
557,1,0.04615566912065087,0.9499896562732659,0.0038546746060830815
558,1,0.08177648404217236,0.91586045663975,0.0023630593180773126
559,2,6.742601689240046e-05,0.0007816800257729043,0.9991508939573348
560,0,0.8686258963262286,0.10279671879748609,0.028577384876285535
561,1,0.059134393994596,0.6311125979440076,0.3097530080613963
562,1,1.1031827165018006e-06,0.9996604372329521,0.00033845958433150885
563,1,0.0002952992139927239,0.6119266410696588,0.3877780597163489
564,1,1.7371526490670933e-10,0.9999998899260482,1.0990023690767707e-07
565,0,0.5866833386212842,0.2223320699838362,0.19098459139487958
566,0,0.5772840527646091,0.2838723716198224,0.13884357561556848
567,1,0.38074881940066146,0.517918011186552,0.10133316941278654
