profile,reference_profile,predictor,beta,SE,z,p,OR,CI_lower,CI_upper,p_FDR,significant_FDR,specification
3,0,COVID,-0.21131009168078757,0.15620201146094212,-1.352800067709916,0.17611951113519986,0.8095230016084569,0.5960289530556735,1.0994893566386084,0.3706384998947301,False,standardized_continuous
3,0,PU,-0.7402484746148089,0.1568664300656033,-4.7189731691173735,2.3703807803893624e-06,0.47699537955185484,0.35074119013214505,0.6486965275680794,1.6808154624579114e-05,True,standardized_continuous
3,0,PEU,-0.4844073337012792,0.12459116292871128,-3.887975056292299,0.00010108401170880104,0.6160622078972384,0.4825812333778758,0.7864637448552309,0.0006065040702528062,True,standardized_continuous
3,0,PO,0.12337173316099861,0.13775108363491217,0.895613521908664,0.3704592113103903,1.131304886333634,0.8636217539935945,1.4819575119825534,0.5779163696442088,False,standardized_continuous
3,0,PRI,-0.9774457122544371,0.14900835519550942,-6.559670502851734,5.392680205050282e-11,0.37627097677229027,0.28097148590703463,0.5038940072659831,2.10314527996961e-09,True,standardized_continuous
3,0,age,-0.0024159863331616772,0.12304731438767423,-0.019634612467443573,0.9843348523940927,0.9975869298128902,0.7838099313447262,1.2696696517051658,0.9901820138436779,False,standardized_continuous
3,0,gender,-0.019752009477216136,0.19978269190469491,-0.09886747089501982,0.9212434967962839,0.9804417834314382,0.6627707763469114,1.4503748882782177,0.9901820138436779,False,standardized_continuous
3,0,Education,-0.11430573066130618,0.1066177299170372,-1.0721080888727539,0.2836714861060655,0.8919852069634789,0.723773716804857,1.0992905530668766,0.502872179915298,False,standardized_continuous
3,0,Occupation,-0.1167816108608332,0.11988861532678954,-0.9740842409641037,0.3300147135260477,0.8897794901233625,0.7034466102638076,1.1254692673084081,0.559590166413733,False,standardized_continuous
3,0,income,0.04230686475301495,0.09619691439950984,0.4397944052271028,0.6600860201333056,1.0432145554150174,0.8639511186025629,1.25967382320202,0.8044798370374663,False,standardized_continuous
4,0,ATT,-0.23286585888697997,0.13273593906580244,-1.7543542504456098,0.07936982532875372,0.7922598410136097,0.6107739842498455,1.027672546422918,0.223293452715059,False,standardized_continuous
4,0,CON,0.12238944446946735,0.14263445409436437,0.8580636792601086,0.39085730169775057,1.1301941639514426,0.8545552801373143,1.4947410400701648,0.5977817555377362,False,standardized_continuous
4,0,SNO,-0.5405620774348571,0.16249460748711933,-3.3266462548777596,0.0008789787960736547,0.5824207947680147,0.423563638527447,0.8008571825417083,0.004897167578124647,True,standardized_continuous
4,0,COVID,-0.13912932521021007,0.1491154415589525,-0.9330309708750422,0.35080397781720585,0.870115493312513,0.6496018834977357,1.1654845697582048,0.5632011121706151,False,standardized_continuous
4,0,PU,-0.18112801781173585,0.1434550339096972,-1.2626117946181885,0.20672872704496537,0.8343285429444396,0.6298334344757324,1.1052193793923026,0.38392477879779285,False,standardized_continuous
4,0,PEU,-0.1438212224463537,0.11574789875972569,-1.242538516789007,0.2140379385885247,0.8660425631908583,0.6902598873198081,1.0865903336357299,0.3882548653466262,False,standardized_continuous
4,0,PO,0.009038242254624127,0.12757063360223153,0.07084892501832041,0.94351799309256,1.009079210500107,0.7858414695298542,1.2957331631692874,0.9901820138436779,False,standardized_continuous
4,0,PRI,-0.5546525763769842,0.13635037255035568,-4.067847898047693,4.7449335695301613e-05,0.5742717421114784,0.43959593366473165,0.7502071983206129,0.0003084206820194605,True,standardized_continuous
4,0,age,0.20208027172178986,0.1060156226061217,1.9061367254576786,0.05663246896543634,1.2239462524412463,0.9943059244646142,1.5066232554850718,0.169897406896309,False,standardized_continuous
4,0,gender,-0.26632139359821183,0.18617837897227202,-1.430463596623514,0.15258400672275133,0.766192838452003,0.53193657515357,1.1036117708688402,0.34453391265333144,False,standardized_continuous
4,0,Education,-0.0012516021104331926,0.10171218236261408,-0.012305331390600846,0.9901820138436779,0.9987491808168164,0.8182335419338606,1.2190895081430086,0.9901820138436779,False,standardized_continuous
4,0,Occupation,-0.10421961529784789,0.11059164245147442,-0.9423823806900918,0.34599690461561095,0.9010273962909369,0.725438314921078,1.119117025070764,0.5632011121706151,False,standardized_continuous
4,0,income,0.1951885528616606,0.09270038131266618,2.1055852208775203,0.035240397543552245,1.2155401584588772,1.013587284938106,1.457731266741825,0.109950040335883,False,standardized_continuous
5,0,ATT,-0.6961486802938942,0.2578295091529125,-2.700034928434143,0.006933219666536089,0.4985015001315026,0.30074440787453466,0.8262954825648161,0.02846269126262184,True,standardized_continuous
5,0,CON,-0.17849214342049727,0.29376032188953377,-0.6076114782023483,0.5434451862376067,0.836530629120969,0.4703574345238306,1.4877696026341212,0.7460050337666566,False,standardized_continuous
5,0,SNO,-2.060798979190326,0.32394561228680135,-6.361558548803008,1.9971675139377639e-10,0.12735217749556982,0.06749293324355043,0.24030037417899527,5.1926355362381864e-09,True,standardized_continuous
5,0,COVID,-0.20342260975133294,0.2922430982817993,-0.69607327237949,0.4863829438026478,0.8159333471639548,0.46014248733658697,1.446828418013899,0.702553141048269,False,standardized_continuous
5,0,PU,-1.9476191539191072,0.31428278060060855,-6.197027881060233,5.753931172897743e-10,0.14261320780763703,0.07702591125759455,0.26404786011770737,1.12201657871506e-08,True,standardized_continuous
5,0,PEU,-0.820755651088461,0.2554570973796298,-3.2128903816234633,0.0013140643239874742,0.440098967560336,0.26674781982054385,0.7261056580630268,0.006833134484734866,True,standardized_continuous
5,0,PO,0.48003760385041305,0.27649750696302955,1.7361371866350999,0.08253958050669857,1.6161351739555887,0.9399792205153822,2.7786708934527122,0.223293452715059,False,standardized_continuous
5,0,PRI,-1.484557705530336,0.26723535834949935,-5.555244316093763,2.7722373340684094e-08,0.22660254356707457,0.13421141373224513,0.38259572210087733,3.089064457961942e-07,True,standardized_continuous
5,0,age,-0.5054700215201895,0.32417312439879736,-1.5592594927714023,0.11893497494971565,0.6032219814718874,0.3195475003439664,1.1387250988951156,0.2899040014399319,False,standardized_continuous
5,0,gender,-0.07146524586956852,0.4008473633839237,-0.1782854333037499,0.8584988180855058,0.9310286341231828,0.42437996630597974,2.042542971814797,0.9668043545825402,False,standardized_continuous
5,0,Education,0.08176797216515651,0.20695160711815638,0.3951067271416362,0.6927641244036934,1.0852039830847129,0.7233535459572714,1.6280665125439104,0.8187212379316376,False,standardized_continuous
5,0,Occupation,-0.016573284530463646,0.23258981828919653,-0.07125541716472227,0.9431944769398625,0.983563296775049,0.6234733057212014,1.5516249852012007,0.9901820138436779,False,standardized_continuous
5,0,income,0.1198909512529513,0.20330089511350086,0.5897217087313726,0.555377238635401,1.127373906164053,0.7568586225414936,1.6792725701290616,0.7468866312682979,False,standardized_continuous
6,0,ATT,-0.18967884600113297,0.2045644905254236,-0.9272325099724938,0.35380582687641204,0.8272247578269311,0.5539808013540234,1.2352428067710597,0.5632011121706151,False,standardized_continuous
6,0,CON,0.4028081609607641,0.2345273738186295,1.7175315375861995,0.08588209719809961,1.4960198691190287,0.9447211336319562,2.369032902010662,0.223293452715059,False,standardized_continuous
6,0,SNO,0.7126657633714091,0.2916866737777853,2.4432578771642373,0.014555332634801377,2.039420631538283,1.151378456940336,3.6123973722738665,0.05204527619533215,False,standardized_continuous
6,0,COVID,0.32673744270990995,0.24665083032752932,1.3246963015532243,0.18527190034597385,1.38643741013888,0.8549620604846798,2.248297066121158,0.3706384998947301,False,standardized_continuous
6,0,PU,0.5434090544344387,0.22340188017084137,2.432428294779253,0.014997960827997153,1.721866805746024,1.1113120777741878,2.667860231185619,0.05204527619533215,False,standardized_continuous
6,0,PEU,-0.4538761087696338,0.16155705642235912,-2.8093858530268343,0.004963611733371069,0.6351614193012898,0.4627686900035888,0.8717746841639183,0.022774218541349613,True,standardized_continuous
6,0,PO,-0.2454534673079507,0.18531033015775228,-1.3245536128450008,0.18531924994736504,0.7823496877846123,0.5440785144991028,1.12496821261206,0.3706384998947301,False,standardized_continuous
6,0,PRI,0.29397594311408576,0.2096657191426834,1.40211735288031,0.16088020600904174,1.341751624912944,0.8896128895791652,2.0236863067577215,0.34857377968625713,False,standardized_continuous
6,0,age,0.04233624983600979,0.1495865375428583,0.2830217914755862,0.7771601324731894,1.0432452108117132,0.7781364662085022,1.398675704256159,0.9047535870583399,False,standardized_continuous
6,0,gender,-0.4151616694133908,0.29165367565557987,-1.423474840425684,0.1545985505495718,0.6602335325083547,0.3727665697166958,1.169386830422462,0.34453391265333144,False,standardized_continuous
6,0,Education,-0.08167122281523888,0.1419554312451028,-0.5753300321015818,0.5650681141928127,0.9215749016949725,0.6977433982766291,1.2172100825773524,0.7470392018142269,False,standardized_continuous
6,0,Occupation,0.3879201084282862,0.15672260682162384,2.4752019909278515,0.013316084014425569,1.4739120264359145,1.0840931153069076,2.0039022764731893,0.05193272765625971,False,standardized_continuous
6,0,income,0.12204088173891696,0.1484667428623455,0.8220082113074312,0.4110722235586076,1.1298002890366492,0.8445478072001386,1.5113989785125417,0.6166083353379115,False,standardized_continuous
