profile,predictor,primary_beta,primary_p,primary_FDR_p,primary_OR,beta_drop_ATT,beta_drop_CON,beta_drop_COVID,beta_drop_PEU,beta_drop_PO,beta_drop_PRI,beta_drop_PU,beta_drop_SNO,p_FDR_drop_ATT,p_FDR_drop_CON,p_FDR_drop_COVID,p_FDR_drop_PEU,p_FDR_drop_PO,p_FDR_drop_PRI,p_FDR_drop_PU,p_FDR_drop_SNO,std_beta,std_FDR_p,n_FDR_sig_dropouts_of_total,fdr_sig_in_drop_ATT,fdr_sig_in_drop_CON,fdr_sig_in_drop_COVID,fdr_sig_in_drop_PEU,fdr_sig_in_drop_PO,fdr_sig_in_drop_PRI,fdr_sig_in_drop_PU,fdr_sig_in_drop_SNO,fdr_sig_in_standardized,primary_significant_FDR
3,PU,-0.9874562656496123,2.3750358317284964e-06,1.6841163170438427e-05,0.37252308659395356,-0.967039877435665,-0.9552726234637667,-1.0219672859903923,-1.0352087732912658,-0.9503673024325533,-1.1220931793723574,,-0.9647099984204994,2.2980902001849338e-05,2.4825741468399696e-05,5.2702026071964394e-06,3.3748012757987935e-06,2.3232655398308636e-05,2.7599064910216556e-07,,2.265831645313776e-05,-0.7402484746148089,1.6808154624579114e-05,7,True,True,True,True,True,True,False,True,True,True
3,PEU,-0.5426807637930882,0.00010184427958527921,0.0006110656775116754,0.5811881340472168,-0.5531839813096965,-0.5384662178351788,-0.5427393195838526,,-0.5096845017456617,-0.5520871409922019,-0.5647378978955879,-0.5836973873649146,0.00040883357984825827,0.0006226651842623794,0.0005434963838868941,,0.0009181639670917726,0.0003712747994001573,0.00025028095528156877,0.00015926960721281784,-0.4844073337012792,0.0006065040702528062,7,True,True,True,False,True,True,True,True,True,True
3,PO,0.13738107138214498,0.3704299619966943,0.5778707407148431,1.147265255187169,0.0975279065499095,0.14989725936836182,0.12817928890347957,-0.009514351661274695,,0.04179208524860628,-0.021469998133318225,1.4974240222419386e-05,0.7295722935347206,0.5282372418134926,0.6402538057147654,0.9868145687341521,,0.9006542450487265,0.9019488061991414,0.9999192865227449,0.12337173316099861,0.5779163696442088,0,False,False,False,False,False,False,False,False,False,False
3,PRI,-1.368939420932119,5.3522436515835256e-11,2.087375024117575e-09,0.25437660303894827,-1.3756263844608194,-1.3575327305083789,-1.3748415041319193,-1.3738300556953733,-1.356535493145,,-1.465572734277625,-1.382464391874805,1.2925716278716666e-09,1.427584228335843e-09,7.964712865784459e-10,1.0208691038271798e-09,2.576282601437978e-09,,3.760190679976015e-11,5.850750934544918e-10,-0.9774457122544371,2.10314527996961e-09,7,True,True,True,True,True,False,True,True,True,True
3,age,-0.00031859903438995603,0.9835528069850423,0.9905612395197669,0.9996814517128929,-0.0017389822232304678,-0.000543235202226574,-0.0013663769389988371,-0.0007968885930486974,-0.0011793723484951918,-0.0008629535885911005,0.0029042864874393583,-0.0077431975408156425,0.9479800610146055,0.9856431905733122,0.9717844952632279,0.9868145687341521,0.9933756944702243,0.9749739351937794,0.9019488061991414,0.7896637837080721,-0.0024159863331616772,0.9901820138436779,0,False,False,False,False,False,False,False,False,False,False
3,gender,-0.019037453204692488,0.9240823333660773,0.9905612395197669,0.9811426146194743,-0.0753947805863812,-0.01866292563047445,-0.0008401802224547256,0.039037980756212086,-0.011065478395605054,-0.04559766926682248,-0.03313330966703921,0.08638025290179331,0.8300690086843407,0.9799303451074721,0.9966323293818318,0.9831147357144747,0.9933756944702243,0.9019234898682578,0.9019488061991414,0.8106993333605893,-0.019752009477216136,0.9901820138436779,0,False,False,False,False,False,False,False,False,False,False
3,Education,-0.15739424130405263,0.28359932787168407,0.5027442630452582,0.8543671655879344,-0.17585893726428345,-0.17017871798150358,-0.14990743269757972,-0.11269489567319615,-0.15110640428336283,-0.16469054551508533,-0.1657567937867521,-0.2329181735784871,0.4171049468926002,0.4197015112507588,0.525235979179507,0.6424590766100303,0.49356923524232704,0.46646002734416403,0.4484729011187184,0.22431598881905135,-0.11430573066130618,0.502872179915298,0,False,False,False,False,False,False,False,False,False,False
3,Occupation,-0.05600233623497203,0.33048631392732386,0.5603898366593753,0.9455369268913799,-0.04727077222799799,-0.05591104435141947,-0.05710946043920839,-0.046465034613257454,-0.05649874583485986,-0.038641702439972385,-0.06149807128879215,-0.04204570808904404,0.6165930172354109,0.5282372418134926,0.5352800280426587,0.6288531827080642,0.5210099312469587,0.6599961295137825,0.4823101666817365,0.653717296735839,-0.1167816108608332,0.559590166413733,0,False,False,False,False,False,False,False,False,False,False
3,income,0.04885574148661369,0.6605357079879846,0.8050278941103561,1.050068858440792,0.052485884126458715,0.0536979388717819,0.05494026494115473,0.047443237460858614,0.05208450455188105,0.08573762181251851,0.0789543929369727,-0.0334794599792196,0.8036313481425047,0.798434171559928,0.7838999222448159,0.8290395869971319,0.7822348983187671,0.6173120805800609,0.6669478474550967,0.838989359513016,0.04230686475301495,0.8044798370374663,0,False,False,False,False,False,False,False,False,False,False
4,ATT,-0.2979756220592747,0.07917842261762292,0.2233907954907598,0.7423194357464058,,-0.24894675356073637,-0.30856729830901913,-0.3086925328570842,-0.29654712934673577,-0.29276117701825244,-0.2842539748836173,-0.34223243213249493,,0.2789944257143409,0.17592719193727935,0.20601594901556275,0.20042540867587405,0.23494693053003593,0.23010226044094623,0.1081120764595667,-0.23286585888697997,0.223293452715059,0,False,False,False,False,False,False,False,False,False,False
