bootstrap,converged,n_iter,log_likelihood,BIC,matching_cost,matched_size_p0,mean_zINT_p0,mean_zBE_p0,matched_size_p1,mean_zINT_p1,mean_zBE_p1,matched_size_p2,mean_zINT_p2,mean_zBE_p2,matched_size_p3,mean_zINT_p3,mean_zBE_p3,matched_size_p4,mean_zINT_p4,mean_zBE_p4,matched_size_p5,mean_zINT_p5,mean_zBE_p5
48,True,33,-1752.7972135475381,3752.7411299369414,3.1442075604795057,153,1.2025198422442014,0.6095250594825709,110,-0.7430672810613452,-1.0207604598580273,504,0.15335999888091492,0.30201549561963886,132,-1.4338592610173602,-1.8367390111024677,107,0.9849527842568769,1.6131686050259773,160,-0.3216118727105598,-0.20655162218375303
49,True,41,-1933.2122335186764,4113.571169879218,2.2173043567665123,166,1.1036383274485848,0.22880583755464431,301,-0.4473755431208485,-0.43289220555865837,206,0.3624745466282037,0.7678850019978133,108,-1.4237670297011933,-1.2411022130281655,88,0.4642910433153767,1.4656698352137447,297,0.21375603065157295,0.02945947517475412
50,True,49,-158.9222654413673,564.9912337245999,3.2392337896646097,322,0.9533166938299923,0.33687523393354013,231,-0.9333434184810853,-0.5810863301171469,250,0.17394418656131555,0.120923224513221,93,-2.086560690733345,-1.6887091972721824,115,0.9318527070590135,1.567967206729687,155,-0.2641096396384558,-0.12085640276903982
51,True,43,-1070.4905316752431,2388.1277661923514,2.966870667734969,63,-0.7706783384949893,0.6872410903423892,221,-0.5265983172216546,-0.37090153893598116,360,0.8934805483559267,0.24052410339720728,165,-1.3148307953803064,-1.2178501173151512,113,0.9144567961151038,1.6009697667757585,244,0.12145378942090874,0.04575206064241698
52,True,18,-2256.883707268898,4760.914117379662,1.9243753279940234,53,1.452787661801995,1.582115598753615,365,-0.6894577533492546,-0.5095323854645603,152,1.1655239322242112,0.27144320220575485,61,-1.3774477576488477,-1.3720788391814995,200,0.5446470576181951,1.1821809662671905,335,0.21460521640189786,0.028240928353941375
53,True,44,-827.7768316459761,1902.7003661338176,0.5534885007572296,131,1.4881303328719409,0.8562034576560329,279,-0.7351687891879385,-0.12852689811655774,247,0.7685055498718594,0.22552816479553167,181,-1.2526348318757583,-1.1586999477709727,50,0.8186887393923272,1.5780966796701852,278,0.142001575596004,0.16664733081103053
54,True,49,-1405.4027877595718,3057.9522783610087,1.3921985756105348,129,1.434441879763636,0.8968788081624227,176,-0.5192297456824426,-0.3271456697002596,141,1.0052503909762618,0.5128538276363752,186,-1.2570502755017288,-1.158952962906451,66,0.1383844670558654,1.402100272106841,468,0.13386181589623486,0.12031150478615245
55,True,28,-925.3357271675195,2097.818157176904,0.727492197974884,118,1.4811316173171365,0.9774322101021085,310,-0.6627792680564117,-0.11098648142457379,230,0.7824876838694029,0.11893895367677547,160,-1.274699321243256,-1.1802085273732579,79,0.769694503370278,1.3447355665115526,269,0.15640689285399545,0.08657913255278404
56,True,33,-742.8765257122799,1732.8997542664251,1.2018558714827523,139,1.4256718748791442,0.9372616173867886,305,-0.7515727725741392,-0.28899380951676723,132,0.7023031800432427,-0.1497208683857824,143,-1.281286712928019,-1.1727743807166293,175,0.7670847337826059,0.9572352829668697,272,0.12494151016155246,0.12536365943090724
57,True,31,-1582.8433240148154,3412.833350871496,4.218240446664543,310,0.9185608353926533,0.24548782460048074,147,-1.1277489331144628,-0.9316335705598038,250,0.10658428489677801,0.08602814140050868,63,-1.5793232269523458,-2.212720342574522,162,0.9588176874555272,1.316807634350329,234,-0.558153314231986,0.021880929759382457
58,True,36,-2150.480881838138,4548.1084665181415,4.118600633918394,133,1.4474371215253563,0.9274055629877282,10,-2.699621149963007,0.08579665243914689,580,0.2653842267146186,0.24629426118927003,134,-1.3864347354425892,-1.380875235149768,116,0.37049046584611894,1.3871699076237785,193,-0.5262247951737083,-0.7033135238286888
59,True,52,-1091.381782738301,2429.910268318467,2.821225513124657,333,0.9217178390974321,0.4968430116390175,71,-0.7035995628637515,-0.5533427318230176,247,0.12265322447388355,0.006740801143827495,276,-1.117739973613038,-1.250685172216547,109,0.9711419751229258,1.555390864642295,130,-0.5261507699406223,0.33224154029234493
60,True,37,-1567.2136509881104,3381.574004818086,4.390750288681725,349,0.9361016689637556,0.3204988625066438,24,-2.5014703929040945,-0.6662279614362911,259,0.12394057587616349,0.09991924074594838,129,-1.3402633050685793,-1.3011676236091754,97,1.0574943373876202,1.5765057899922639,308,-0.6037422964199795,-0.10346842860540396
